Portland,LA Clippers,time_rem
2-2,4-1,48M 0S
0,0,47M 51S
3,0,47M 38S
3,3,47M 17S
3,5,46M 49S
3,6,45M 40S
3,7,45M 40S
6,7,45M 24S
6,10,45M 7S
8,10,44M 55S
11,10,44M 1S
11,13,43M 41S
11,15,42M 36S
11,18,42M 13S
14,18,41M 51S
14,19,41M 33S
16,19,41M 18S
16,22,40M 59S
16,25,40M 34S
16,28,40M 12S
16,30,39M 42S
18,30,39M 19S
18,32,38M 38S
21,32,38M 17S
21,34,38M 2S
22,34,37M 19S
23,34,37M 19S
25,34,36M 30S
25,37,36M 9S
26,37,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,39,35M 41S
28,39,34M 59S
28,41,34M 13S
29,41,34M 3S
30,41,34M 3S
30,43,33M 46S
30,44,33M 46S
30,47,33M 21S
32,47,33M 4S
32,49,32M 49S
35,49,32M 37S
37,49,32M 10S
38,49,31M 12S
39,49,31M 12S
39,51,30M 51S
42,51,30M 39S
44,51,30M 6S
44,54,29M 44S
44,57,29M 26S
44,58,28M 44S
45,58,28M 18S
46,58,28M 18S
46,61,28M 0S
46,64,27M 32S
46,66,27M 9S
46,67,27M 9S
47,67,26M 48S
48,67,26M 48S
50,67,26M 27S
51,67,26M 27S
51,69,26M 0S
54,69,25M 37S
54,71,25M 10S
54,73,24M 47S
57,73,24M 33S
57,76,24M 14S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,78,23M 33S
57,80,23M 2S
57,82,22M 14S
57,84,21M 44S
57,85,21M 44S
60,85,21M 28S
60,88,21M 10S
62,88,20M 54S
62,91,20M 5S
62,92,19M 21S
65,92,18M 46S
67,92,18M 13S
68,92,18M 13S
68,94,17M 48S
69,94,17M 42S
70,94,17M 42S
71,94,17M 42S
71,96,16M 52S
71,98,15M 47S
72,98,15M 36S
73,98,15M 36S
76,98,15M 7S
76,100,14M 48S
77,100,14M 18S
78,100,14M 18S
78,101,14M 7S
80,101,13M 50S
81,101,13M 22S
82,101,13M 22S
82,102,13M 13S
82,103,13M 13S
83,103,12M 56S
84,103,12M 56S
84,104,12M 45S
84,105,12M 45S
84,107,12M 17S
85,107,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
87,107,11M 33S
87,110,11M 15S
87,112,10M 52S
87,114,10M 20S
89,114,9M 50S
89,116,9M 35S
89,117,8M 5S
89,118,8M 5S
91,118,7M 13S
93,118,6M 13S
95,118,5M 50S
97,118,5M 30S
97,121,5M 12S
98,121,4M 57S
99,121,4M 32S
101,121,3M 55S
101,123,3M 42S
101,124,3M 42S
102,124,2M 22S
103,124,2M 22S
103,126,1M 59S
103,128,1M 36S
105,128,1M 18S
End of 4th quarter,NA,0S
