Portland,New York,time_rem
12-10,11-13,48M 0S
0,0,47M 49S
0,2,47M 23S
0,4,47M 4S
0,6,46M 33S
3,6,46M 18S
3,8,45M 54S
6,8,45M 41S
8,8,45M 4S
8,10,44M 50S
10,10,44M 36S
10,13,43M 51S
10,15,42M 47S
12,15,42M 33S
12,17,42M 21S
15,17,42M 3S
15,19,41M 29S
18,19,40M 50S
21,19,40M 28S
21,22,39M 22S
23,22,38M 54S
23,24,38M 9S
23,25,37M 29S
23,26,37M 29S
24,26,37M 7S
25,26,37M 7S
28,26,36M 35S
31,26,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,29,35M 45S
33,29,34M 3S
33,31,33M 53S
33,32,33M 53S
35,32,33M 42S
35,35,33M 20S
38,35,32M 59S
39,35,32M 12S
39,37,31M 54S
39,39,31M 29S
42,39,30M 48S
42,41,30M 32S
43,41,29M 51S
46,41,28M 54S
46,43,28M 35S
46,45,28M 8S
47,45,27M 57S
47,47,27M 39S
49,47,27M 12S
49,49,26M 56S
49,51,26M 33S
51,51,25M 50S
51,54,24M 46S
51,57,24M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
51,59,23M 5S
51,61,22M 24S
54,61,21M 51S
54,64,21M 30S
57,64,21M 11S
57,67,20M 49S
59,67,20M 30S
59,69,20M 18S
61,69,20M 1S
63,69,19M 1S
63,72,18M 28S
65,72,18M 7S
67,72,17M 35S
67,74,16M 39S
69,74,16M 13S
69,76,15M 28S
69,78,14M 53S
71,78,14M 35S
73,78,14M 18S
73,81,14M 3S
73,83,13M 39S
76,83,13M 14S
76,84,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,84,11M 38S
79,85,11M 12S
79,88,11M 2S
79,90,10M 30S
82,90,10M 12S
84,90,9M 32S
85,90,9M 32S
85,93,9M 13S
85,95,8M 52S
Jump ball: R. Covington vs. A. Burks (D. Lillard gains possession),NA,8M 27S
87,95,7M 39S
87,97,7M 23S
87,99,7M 5S
87,101,6M 5S
89,101,5M 31S
89,104,4M 57S
92,104,4M 28S
92,106,4M 2S
95,106,3M 29S
97,106,2M 49S
98,106,2M 14S
99,106,2M 14S
Jump ball: D. Lillard vs. A. Burks (R. Covington gains possession),NA,35S
99,107,19S
99,108,19S
99,109,14S
99,110,14S
End of 4th quarter,NA,0S
