Detroit,Washington,time_rem
17-40,23-33,48M 0S
0,0,47M 44S
0,2,46M 22S
2,2,46M 2S
2,4,45M 23S
2,6,44M 1S
4,6,43M 25S
4,8,43M 9S
6,8,42M 57S
6,10,42M 41S
6,12,42M 16S
6,13,42M 11S
8,13,41M 59S
8,15,41M 47S
10,15,41M 31S
10,17,40M 54S
10,18,40M 54S
11,18,40M 41S
12,18,40M 41S
12,20,40M 26S
12,22,40M 4S
15,22,39M 46S
17,22,39M 24S
17,24,38M 51S
17,25,38M 51S
20,25,38M 45S
23,25,37M 57S
23,27,37M 44S
24,27,37M 6S
25,27,37M 6S
27,27,36M 26S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,29,35M 46S
27,30,35M 46S
27,32,35M 18S
29,32,34M 59S
29,34,34M 35S
31,34,33M 57S
32,34,33M 57S
32,36,33M 38S
32,38,33M 21S
32,39,33M 21S
34,39,33M 6S
36,39,32M 41S
36,41,32M 20S
38,41,32M 1S
38,44,31M 32S
40,44,31M 19S
40,46,31M 6S
40,47,31M 6S
40,49,30M 44S
42,49,30M 27S
42,51,29M 39S
45,51,29M 27S
47,51,29M 6S
47,53,28M 25S
47,54,28M 4S
47,56,27M 59S
49,56,27M 46S
49,57,27M 29S
49,58,27M 29S
51,58,26M 19S
51,60,25M 29S
Jump ball: J. Grant vs. D. Gafford (I. Stewart gains possession),NA,25M 17S
52,60,25M 16S
53,60,25M 16S
53,61,25M 7S
55,61,24M 49S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,61,23M 29S
57,61,23M 29S
57,63,22M 48S
60,63,22M 28S
60,66,22M 8S
61,66,21M 45S
61,68,21M 11S
61,70,20M 24S
61,73,19M 47S
63,73,19M 34S
63,75,19M 11S
66,75,19M 1S
66,77,18M 48S
67,77,18M 33S
67,78,18M 19S
67,79,18M 19S
69,79,17M 57S
69,81,17M 50S
69,83,17M 4S
69,86,16M 32S
71,86,16M 14S
73,86,15M 41S
76,86,15M 15S
76,89,14M 58S
77,89,14M 44S
78,89,14M 44S
80,89,14M 13S
80,91,13M 56S
80,93,13M 10S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,93,11M 43S
82,95,10M 18S
82,98,8M 54S
84,98,8M 14S
84,100,7M 55S
84,102,7M 17S
84,104,6M 42S
86,104,6M 23S
89,104,6M 4S
89,107,5M 42S
89,110,4M 25S
89,112,3M 52S
90,112,3M 38S
91,112,3M 38S
91,115,3M 27S
94,115,3M 13S
94,117,2M 59S
96,117,2M 53S
97,117,2M 30S
98,117,2M 30S
98,119,1M 54S
100,119,1M 40S
100,121,34S
End of 4th quarter,NA,0S
