Boston,Indiana,time_rem
1-2,3-0,48M 0S
0,0,47M 42S
1,0,47M 42S
3,0,47M 11S
5,0,46M 44S
7,0,45M 46S
7,2,45M 25S
10,2,45M 11S
12,2,44M 26S
12,4,44M 2S
15,4,43M 45S
15,6,42M 53S
15,8,42M 29S
15,10,42M 1S
17,10,41M 38S
17,12,40M 56S
17,14,40M 16S
19,14,38M 28S
21,14,38M 0S
22,14,37M 24S
23,14,37M 24S
23,16,37M 0S
23,19,36M 32S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,21,35M 37S
25,21,35M 13S
25,23,35M 3S
27,23,34M 49S
27,26,34M 27S
27,28,34M 10S
30,28,33M 10S
30,29,32M 50S
30,30,32M 50S
30,31,32M 50S
32,31,32M 32S
32,33,32M 18S
34,33,31M 37S
36,33,31M 4S
36,35,30M 54S
38,35,30M 31S
40,35,30M 13S
40,38,29M 52S
40,40,29M 6S
42,40,28M 51S
42,42,28M 39S
45,42,27M 55S
45,45,27M 31S
48,45,27M 21S
49,45,26M 16S
50,45,26M 16S
50,47,25M 54S
53,47,25M 17S
55,47,24M 57S
55,49,24M 45S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,52,23M 41S
55,54,22M 32S
55,56,22M 12S
55,58,21M 44S
55,59,21M 44S
55,61,21M 10S
56,61,20M 57S
57,61,20M 57S
57,63,20M 36S
57,65,20M 0S
60,65,19M 24S
60,67,19M 11S
60,68,19M 11S
60,70,18M 45S
62,70,18M 27S
63,70,18M 3S
63,71,17M 26S
63,72,17M 26S
63,74,17M 9S
65,74,16M 58S
66,74,16M 37S
67,74,16M 37S
67,76,16M 16S
70,76,15M 57S
70,77,15M 36S
70,78,15M 36S
70,81,15M 16S
73,81,14M 59S
74,81,14M 36S
75,81,14M 36S
75,82,14M 23S
75,84,13M 51S
77,84,13M 38S
77,86,13M 23S
78,86,13M 13S
79,86,13M 13S
79,88,12M 59S
81,88,12M 26S
83,88,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
83,90,11M 40S
84,90,10M 48S
86,90,10M 13S
88,90,9M 50S
88,92,9M 31S
88,94,9M 2S
88,96,8M 29S
90,96,7M 54S
92,96,7M 28S
Jump ball: T. Thompson vs. D. McDermott (G. Williams gains possession),NA,7M 14S
94,96,7M 0S
96,96,6M 19S
96,98,5M 53S
96,100,5M 17S
98,100,4M 51S
100,100,4M 2S
100,103,3M 38S
101,103,3M 3S
103,103,2M 35S
103,105,2M 17S
103,106,24S
104,106,18S
105,106,18S
107,106,11S
107,108,8S
End of 4th quarter,NA,0S
