Boston,Detroit,time_rem
3-3,1-4,48M 0S
0,0,47M 41S
0,2,47M 17S
0,5,46M 59S
2,5,45M 38S
2,7,44M 18S
2,9,43M 51S
2,11,43M 3S
2,13,42M 37S
3,13,42M 1S
3,16,41M 29S
5,16,41M 13S
5,18,40M 55S
5,21,40M 11S
5,23,39M 46S
7,23,39M 5S
7,25,38M 44S
10,25,38M 28S
10,27,37M 59S
12,27,37M 31S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
12,29,35M 38S
12,32,34M 49S
14,32,34M 22S
14,35,33M 59S
15,35,33M 51S
15,36,33M 40S
17,36,33M 21S
19,36,32M 48S
21,36,32M 19S
Jump ball: K. Hayes vs. P. Pritchard (M. Plumlee gains possession),NA,30M 55S
21,38,30M 28S
24,38,30M 13S
24,40,29M 27S
24,41,29M 27S
26,41,29M 13S
26,42,28M 56S
26,43,28M 36S
26,45,28M 4S
29,45,27M 54S
29,47,27M 31S
31,47,27M 12S
31,49,26M 34S
32,49,26M 28S
34,49,25M 58S
36,49,25M 25S
36,51,25M 14S
38,51,25M 3S
38,53,24M 54S
40,53,24M 30S
40,55,24M 10S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
42,55,23M 19S
44,55,22M 49S
44,58,22M 26S
47,58,22M 15S
49,58,21M 44S
49,61,21M 28S
49,62,21M 8S
51,62,20M 48S
53,62,20M 9S
55,62,19M 13S
55,64,18M 52S
57,64,18M 23S
57,66,18M 5S
57,69,17M 45S
59,69,16M 42S
59,72,16M 22S
61,72,16M 1S
63,72,14M 57S
65,72,14M 44S
65,73,14M 26S
65,74,14M 26S
66,74,14M 16S
69,74,13M 47S
69,76,13M 36S
71,76,13M 20S
71,79,13M 3S
73,79,12M 20S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
76,79,11M 38S
78,79,11M 12S
80,79,10M 47S
80,80,9M 35S
80,82,8M 58S
80,83,8M 58S
82,83,8M 32S
83,83,8M 4S
83,86,7M 16S
84,86,6M 31S
85,86,6M 31S
88,86,5M 13S
88,88,4M 55S
90,88,4M 44S
93,88,4M 15S
93,90,3M 36S
93,91,1M 45S
93,92,1M 45S
93,94,1M 20S
93,95,25S
93,96,5S
End of 4th quarter,NA,0S
