Cleveland,Portland,time_rem
10-17,15-10,48M 0S
0,0,47M 37S
0,2,47M 3S
2,2,46M 47S
2,3,46M 33S
2,4,46M 33S
2,5,46M 33S
2,7,46M 4S
2,9,45M 41S
2,10,45M 41S
4,10,45M 30S
4,11,45M 20S
4,12,45M 20S
4,14,44M 30S
4,16,43M 55S
4,17,42M 52S
4,18,42M 52S
4,20,42M 29S
4,21,42M 3S
4,22,42M 3S
6,22,41M 47S
6,23,41M 32S
8,23,41M 8S
9,23,40M 25S
10,23,40M 25S
10,25,40M 3S
12,25,39M 57S
12,26,39M 48S
12,27,39M 48S
14,27,39M 30S
14,29,39M 13S
16,29,38M 57S
18,29,38M 13S
19,29,37M 47S
20,29,37M 47S
20,32,37M 34S
21,32,37M 18S
21,33,36M 51S
21,34,36M 51S
23,34,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,36,35M 44S
25,36,35M 29S
25,39,34M 51S
26,39,34M 44S
28,39,34M 11S
28,41,33M 16S
30,41,32M 57S
31,41,32M 57S
31,43,32M 8S
31,45,31M 40S
34,45,31M 22S
34,46,31M 5S
34,47,31M 5S
36,47,30M 46S
36,49,30M 25S
38,49,30M 19S
38,51,30M 0S
40,51,29M 48S
40,54,29M 34S
41,54,29M 15S
41,57,28M 51S
43,57,28M 42S
44,57,28M 22S
45,57,28M 22S
45,58,27M 40S
45,59,27M 40S
45,60,27M 40S
45,62,27M 5S
45,65,26M 39S
47,65,26M 18S
47,67,25M 57S
49,67,25M 38S
49,70,25M 9S
52,70,24M 51S
52,73,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,73,23M 29S
54,75,23M 9S
56,75,22M 57S
58,75,21M 43S
59,75,21M 43S
59,78,21M 30S
59,80,20M 56S
61,80,20M 42S
61,82,20M 6S
61,85,19M 31S
64,85,18M 1S
64,87,17M 41S
64,89,17M 6S
64,90,17M 6S
66,90,16M 27S
67,90,15M 54S
68,90,15M 54S
69,90,15M 32S
71,90,15M 10S
73,90,14M 29S
73,93,14M 6S
74,93,13M 47S
75,93,13M 47S
75,95,13M 25S
75,96,13M 25S
75,98,13M 2S
76,98,12M 41S
76,100,12M 29S
77,100,12M 15S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,102,11M 26S
79,102,10M 57S
79,104,10M 36S
82,104,9M 56S
82,106,9M 31S
82,107,9M 10S
82,108,9M 10S
83,108,8M 21S
84,108,8M 21S
84,110,8M 0S
84,111,7M 37S
84,112,7M 37S
84,114,7M 7S
87,114,6M 48S
87,115,6M 30S
87,116,6M 30S
88,116,6M 17S
89,116,6M 17S
91,116,5M 4S
91,119,4M 53S
94,119,4M 41S
96,119,2M 45S
96,122,2M 29S
97,122,2M 6S
97,125,1M 43S
99,125,1M 36S
100,125,1M 36S
100,127,1M 23S
101,127,1M 16S
102,127,1M 16S
105,127,51S
107,127,33S
107,128,19S
107,129,19S
110,129,8S
End of 4th quarter,NA,0S
