Washington,Oklahoma City,time_rem
26-33,20-40,48M 0S
0,0,47M 46S
0,2,47M 22S
2,2,46M 47S
2,4,46M 17S
4,4,46M 1S
5,4,45M 44S
6,4,45M 44S
6,7,45M 15S
8,7,44M 32S
8,9,44M 4S
11,9,43M 57S
14,9,43M 30S
14,11,43M 15S
16,11,42M 53S
16,14,42M 46S
19,14,42M 32S
21,14,42M 7S
21,17,41M 51S
21,20,41M 33S
21,21,41M 6S
21,22,41M 6S
23,22,39M 50S
Jump ball: I. Roby vs. D. Gafford (T. Jerome gains possession),NA,39M 13S
23,23,38M 52S
23,24,38M 52S
23,25,38M 52S
26,25,38M 45S
26,27,38M 15S
26,29,37M 48S
26,30,37M 48S
27,30,37M 27S
28,30,37M 27S
28,32,37M 9S
28,34,36M 45S
31,34,36M 38S
32,34,36M 29S
33,34,36M 29S
33,35,36M 16S
36,35,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
38,35,35M 39S
38,37,35M 3S
41,37,34M 18S
41,39,33M 59S
41,41,33M 30S
43,41,33M 13S
43,43,33M 2S
43,45,32M 29S
43,46,32M 1S
43,47,32M 1S
45,47,31M 50S
45,49,31M 27S
45,51,31M 6S
47,51,30M 32S
48,51,30M 12S
49,51,30M 12S
49,52,30M 1S
49,53,30M 1S
51,53,29M 30S
51,55,29M 20S
52,55,29M 11S
53,55,29M 8S
54,55,29M 8S
57,55,28M 40S
57,56,27M 45S
57,57,27M 45S
57,58,27M 45S
59,58,27M 34S
59,59,27M 21S
59,60,27M 21S
62,60,26M 59S
62,62,26M 40S
65,62,26M 10S
65,64,25M 57S
68,64,25M 23S
68,66,24M 57S
70,66,24M 22S
70,68,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
70,70,23M 19S
72,70,23M 5S
75,70,22M 21S
78,70,22M 6S
80,70,21M 33S
82,70,20M 41S
82,71,20M 27S
85,71,20M 19S
85,74,19M 41S
86,74,18M 49S
86,77,18M 38S
88,77,18M 26S
88,80,18M 13S
90,80,17M 45S
92,80,17M 15S
92,81,17M 3S
92,82,17M 3S
92,84,16M 29S
94,84,16M 6S
94,86,15M 51S
94,88,14M 37S
Jump ball: L. Dort vs. D. Bertāns (D. Bazley gains possession),NA,13M 55S
96,88,13M 36S
96,90,13M 18S
99,90,12M 27S
100,90,12M 26S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
102,90,10M 57S
104,90,9M 36S
104,93,9M 16S
104,96,8M 38S
107,96,8M 5S
107,98,7M 50S
109,98,7M 35S
Jump ball: A. Gill vs. S. Mykhailiuk (R. Neto gains possession),NA,6M 51S
112,98,6M 47S
114,98,5M 47S
115,98,5M 47S
115,100,5M 36S
117,100,4M 32S
117,102,4M 16S
119,102,3M 1S
120,102,3M 1S
120,105,2M 43S
122,105,2M 28S
122,106,2M 15S
122,107,2M 15S
125,107,2M 6S
127,107,1M 39S
127,109,1M 29S
129,109,12S
End of 4th quarter,NA,0S
