LA Clippers,Toronto,time_rem
46-23,27-42,48M 0S
0,0,47M 37S
3,0,47M 26S
3,2,46M 21S
5,2,46M 5S
7,2,45M 12S
7,3,44M 28S
7,4,44M 28S
9,4,44M 15S
11,4,43M 16S
12,4,43M 16S
12,6,43M 3S
13,6,42M 29S
14,6,42M 29S
14,9,42M 17S
15,9,41M 35S
16,9,41M 35S
16,11,41M 11S
18,11,40M 56S
20,11,40M 25S
20,13,40M 10S
23,13,39M 23S
25,13,38M 56S
25,15,38M 37S
25,17,37M 56S
25,19,36M 57S
27,19,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,19,36M 0S
28,20,35M 48S
28,22,35M 17S
28,24,34M 40S
31,24,34M 29S
33,24,33M 58S
33,27,33M 28S
34,27,32M 58S
35,27,32M 58S
35,28,32M 34S
35,29,32M 34S
38,29,32M 17S
38,30,31M 53S
41,30,31M 28S
41,33,31M 12S
43,33,31M 3S
46,33,30M 26S
46,34,30M 0S
46,35,30M 0S
46,37,29M 22S
48,37,29M 10S
50,37,28M 29S
51,37,28M 29S
51,38,28M 15S
51,39,28M 15S
53,39,27M 52S
56,39,27M 16S
56,42,26M 25S
56,43,26M 25S
57,43,26M 13S
58,43,26M 13S
58,45,26M 1S
58,47,25M 27S
Jump ball: T. Mann vs. M. Flynn (M. Morris gains possession),NA,25M 18S
58,49,25M 2S
60,49,24M 42S
60,52,24M 31S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,52,22M 36S
62,52,22M 36S
64,52,21M 25S
64,54,21M 15S
66,54,20M 56S
66,57,20M 8S
68,57,19M 55S
Jump ball: S. Johnson vs. P. George (G. Trent gains possession),NA,19M 33S
70,57,18M 42S
72,57,17M 51S
72,59,17M 42S
72,60,17M 42S
73,60,17M 0S
74,60,17M 0S
77,60,16M 13S
77,62,15M 35S
78,62,15M 14S
79,62,15M 14S
79,65,14M 59S
80,65,14M 42S
81,65,14M 42S
81,67,14M 22S
83,67,14M 1S
84,67,13M 36S
85,67,13M 36S
85,69,12M 33S
85,71,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,71,11M 45S
87,71,11M 45S
87,74,11M 34S
89,74,11M 7S
91,74,10M 47S
91,75,9M 35S
91,76,9M 35S
94,76,9M 13S
94,78,8M 45S
96,78,7M 35S
97,78,7M 35S
97,80,6M 33S
97,81,6M 33S
98,81,5M 37S
99,81,5M 37S
99,83,5M 17S
102,83,4M 59S
102,85,4M 40S
104,85,4M 17S
104,88,4M 0S
106,88,3M 40S
106,91,3M 32S
108,91,3M 8S
108,93,2M 54S
110,93,2M 2S
110,94,1M 48S
110,96,1M 19S
113,96,57S
115,96,27S
End of 4th quarter,NA,0S
