Cleveland,Chicago,time_rem
17-27,19-24,48M 0S
0,2,47M 40S
2,2,47M 10S
2,4,46M 35S
4,4,46M 1S
6,4,45M 28S
6,5,45M 17S
6,6,45M 17S
7,6,45M 5S
8,6,45M 5S
8,8,44M 51S
11,8,44M 41S
11,10,44M 27S
13,10,44M 14S
13,12,43M 39S
15,12,42M 33S
18,12,41M 56S
19,12,40M 32S
20,12,40M 32S
20,15,39M 38S
20,17,39M 10S
23,17,37M 55S
23,20,37M 27S
23,22,36M 30S
25,22,36M 11S
25,25,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,25,35M 40S
29,25,34M 57S
29,27,34M 44S
29,29,34M 9S
29,30,33M 50S
29,31,33M 50S
29,33,33M 22S
31,33,33M 11S
33,33,32M 42S
36,33,32M 13S
36,35,31M 55S
36,37,31M 37S
38,37,31M 16S
38,39,31M 5S
40,39,30M 31S
42,39,29M 16S
42,41,29M 1S
42,42,28M 32S
42,43,28M 32S
45,43,28M 14S
45,45,27M 56S
47,45,27M 43S
47,48,27M 13S
47,51,26M 13S
49,51,25M 43S
49,53,25M 30S
51,53,25M 19S
53,53,24M 51S
53,55,24M 40S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,55,23M 42S
55,58,22M 49S
58,58,22M 33S
60,58,21M 57S
62,58,21M 19S
64,58,20M 3S
64,60,19M 55S
66,60,19M 32S
66,62,17M 57S
66,63,16M 30S
66,64,16M 30S
69,64,16M 12S
69,65,15M 27S
71,65,15M 9S
72,65,15M 9S
72,67,14M 46S
74,67,14M 35S
74,69,14M 20S
76,69,14M 3S
76,70,13M 55S
76,72,13M 30S
78,72,12M 41S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,75,11M 39S
79,75,11M 17S
80,75,11M 17S
82,75,10M 51S
82,77,9M 45S
82,80,9M 10S
85,80,8M 44S
87,80,8M 11S
89,80,7M 19S
91,80,6M 54S
91,82,6M 35S
94,82,5M 53S
94,83,5M 38S
94,84,5M 38S
97,84,5M 20S
97,86,5M 5S
97,88,4M 30S
97,90,3M 30S
100,90,3M 8S
101,90,2M 31S
101,92,2M 12S
101,94,1M 30S
103,94,40S
End of 4th quarter,NA,0S
