New Orleans,Denver,time_rem
27-35,41-21,48M 0S
0,2,47M 47S
0,4,47M 13S
2,4,46M 58S
2,6,46M 38S
2,8,46M 20S
2,9,46M 20S
2,11,45M 43S
2,12,45M 43S
4,12,45M 24S
4,15,45M 13S
6,15,44M 30S
6,17,43M 7S
9,17,42M 47S
12,17,42M 6S
14,17,41M 36S
14,18,41M 15S
14,19,41M 15S
16,19,41M 5S
16,22,40M 42S
18,22,40M 28S
19,22,40M 28S
19,24,40M 15S
19,26,39M 52S
19,28,38M 54S
19,30,37M 57S
19,31,37M 57S
21,31,37M 26S
21,32,37M 6S
21,33,37M 6S
23,33,36M 56S
24,33,36M 56S
24,35,36M 34S
25,35,36M 24S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,35,35M 47S
27,37,35M 30S
27,39,35M 7S
27,41,34M 31S
29,41,34M 19S
29,43,33M 59S
30,43,33M 46S
31,43,33M 46S
31,45,33M 22S
33,45,32M 24S
Jump ball: L. Ball vs. S. Harrison (S. Adams gains possession),NA,30M 41S
35,45,30M 28S
38,45,30M 5S
40,45,29M 46S
40,47,29M 21S
42,47,28M 36S
42,49,27M 25S
44,49,27M 13S
44,52,26M 58S
44,54,26M 17S
45,54,25M 51S
45,55,25M 39S
48,55,25M 27S
51,55,24M 51S
51,58,24M 38S
51,60,24M 16S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,60,23M 46S
54,60,23M 17S
54,63,23M 3S
56,63,22M 42S
56,65,22M 19S
59,65,22M 8S
61,65,21M 44S
61,67,21M 6S
61,69,20M 42S
61,71,19M 22S
63,71,18M 27S
63,73,18M 3S
65,73,17M 35S
65,74,17M 19S
67,74,16M 28S
67,75,16M 7S
67,76,16M 7S
70,76,15M 24S
70,78,15M 2S
70,81,14M 16S
71,81,13M 58S
73,81,13M 31S
73,83,13M 16S
73,85,13M 2S
76,85,12M 54S
76,86,12M 42S
76,87,12M 42S
78,87,12M 20S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
80,87,11M 43S
81,87,11M 22S
82,87,11M 22S
82,89,11M 10S
84,89,10M 9S
84,90,9M 58S
84,91,9M 58S
85,91,9M 46S
86,91,9M 46S
87,91,9M 19S
88,91,9M 19S
88,94,9M 7S
90,94,8M 49S
90,96,8M 18S
90,98,6M 39S
90,100,6M 23S
90,103,5M 43S
92,103,5M 21S
94,103,4M 52S
96,103,4M 19S
96,106,3M 59S
96,109,3M 18S
99,109,3M 2S
101,109,1M 48S
101,110,52S
104,110,43S
106,110,38S
106,111,36S
106,112,36S
109,112,31S
109,114,21S
112,114,9S
End of 4th quarter,NA,0S
