Utah,Memphis,time_rem
36-11,22-23,48M 0S
2,0,47M 45S
5,0,46M 32S
5,2,46M 16S
5,4,45M 24S
8,4,45M 9S
8,6,44M 56S
8,7,44M 15S
10,7,43M 50S
13,7,43M 33S
13,10,42M 49S
16,10,42M 23S
16,13,41M 48S
16,15,40M 54S
19,15,40M 38S
19,17,40M 27S
22,17,40M 11S
22,18,39M 27S
22,19,39M 27S
22,21,39M 5S
24,21,38M 3S
24,23,37M 30S
26,23,37M 10S
26,25,36M 41S
29,25,36M 33S
29,28,36M 11S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,28,35M 40S
33,28,34M 35S
36,28,33M 46S
36,30,33M 15S
36,32,32M 50S
38,32,32M 34S
38,34,32M 17S
38,36,31M 39S
38,38,31M 16S
40,38,30M 56S
41,38,30M 23S
42,38,30M 23S
45,38,29M 52S
47,38,29M 19S
47,40,29M 2S
47,42,28M 39S
49,42,27M 51S
49,44,27M 39S
52,44,27M 15S
52,45,26M 37S
54,45,26M 5S
54,47,25M 53S
57,47,25M 7S
57,49,24M 21S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,51,23M 45S
57,53,23M 12S
59,53,22M 53S
60,53,21M 56S
61,53,21M 56S
61,54,21M 48S
61,56,21M 22S
61,57,21M 22S
61,59,20M 52S
61,61,20M 16S
63,61,19M 55S
64,61,19M 55S
67,61,19M 25S
67,64,18M 34S
67,66,17M 29S
68,66,17M 2S
69,66,16M 38S
70,66,16M 38S
71,66,15M 51S
71,68,15M 33S
71,69,15M 15S
73,69,14M 45S
73,71,14M 34S
73,72,14M 34S
75,72,13M 52S
75,73,13M 3S
75,74,13M 3S
75,75,12M 15S
75,76,12M 15S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,76,11M 44S
Jump ball: M. Oni vs. D. Brooks (M. Conley gains possession),NA,11M 31S
80,76,10M 53S
83,76,10M 29S
83,79,10M 2S
83,81,9M 10S
84,81,8M 6S
85,81,8M 6S
87,81,7M 41S
87,83,7M 23S
89,83,7M 8S
89,85,6M 52S
89,87,6M 36S
89,89,6M 4S
92,89,5M 33S
92,90,5M 11S
92,91,5M 11S
94,91,4M 58S
94,93,4M 37S
97,93,4M 9S
99,93,3M 26S
99,95,3M 11S
100,95,2M 53S
101,95,2M 53S
101,96,2M 41S
101,97,2M 41S
102,97,2M 23S
103,97,2M 23S
103,99,2M 0S
105,99,1M 42S
105,101,1M 31S
107,101,1M 13S
107,103,1M 6S
107,105,13S
108,105,11S
109,105,11S
109,106,7S
109,107,7S
110,107,3S
111,107,3S
End of 4th quarter,NA,0S
