LA Clippers,New Orleans,time_rem
43-20,27-34,48M 0S
0,0,47M 35S
2,0,47M 29S
4,0,47M 8S
4,2,46M 46S
7,2,45M 46S
9,2,44M 58S
9,3,44M 41S
9,4,44M 41S
9,6,44M 15S
9,7,44M 15S
9,8,43M 22S
9,9,43M 22S
10,9,42M 44S
11,9,42M 44S
11,12,42M 30S
11,14,42M 4S
11,16,41M 33S
11,18,41M 10S
13,18,40M 42S
13,20,40M 32S
13,21,40M 3S
13,23,39M 39S
13,24,39M 39S
13,26,39M 14S
13,29,38M 46S
16,29,38M 27S
16,31,38M 11S
16,33,37M 13S
18,33,36M 46S
19,33,36M 8S
20,33,36M 8S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,33,35M 17S
24,33,34M 49S
24,34,34M 40S
26,34,34M 22S
26,36,34M 10S
26,39,33M 43S
28,39,33M 10S
30,39,32M 50S
30,40,32M 29S
30,42,32M 5S
30,45,31M 27S
32,45,31M 9S
32,47,30M 42S
32,49,30M 8S
34,49,29M 46S
35,49,29M 10S
36,49,29M 10S
37,49,29M 10S
38,49,28M 9S
39,49,28M 9S
40,49,27M 46S
41,49,27M 46S
43,49,26M 52S
43,50,26M 39S
43,51,26M 39S
43,54,26M 19S
46,54,26M 0S
46,55,25M 6S
48,55,24M 43S
48,56,24M 33S
48,58,24M 32S
48,59,24M 32S
48,61,24M 6S
48,62,24M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
51,62,23M 38S
51,65,23M 6S
51,67,22M 23S
54,67,22M 12S
54,69,21M 55S
56,69,21M 42S
59,69,21M 14S
59,70,20M 56S
61,70,20M 3S
61,72,19M 29S
61,73,19M 15S
63,73,19M 3S
63,75,18M 34S
63,77,18M 9S
66,77,17M 53S
66,80,17M 40S
66,83,17M 10S
69,83,16M 21S
69,85,15M 24S
72,85,14M 41S
72,87,14M 24S
72,90,13M 58S
72,92,13M 36S
74,92,13M 16S
76,92,12M 48S
76,95,12M 11S
77,95,12M 1S
78,95,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,95,11M 39S
81,98,11M 20S
84,98,11M 1S
84,101,9M 35S
84,103,8M 24S
84,105,7M 59S
84,107,6M 51S
84,109,6M 30S
87,109,6M 10S
87,112,5M 14S
88,112,4M 54S
89,112,4M 54S
89,114,4M 44S
92,114,4M 28S
94,114,3M 57S
94,117,3M 38S
96,117,3M 1S
99,117,2M 25S
101,117,1M 19S
101,120,1M 1S
Jump ball: D. Oturu vs. W. Gabriel (Y. Ferrell gains possession),NA,43S
102,120,11S
103,120,11S
End of 4th quarter,NA,0S
