LA Lakers,Sacramento,time_rem
31-18,22-27,48M 0S
0,2,47M 46S
2,2,46M 48S
2,4,46M 20S
4,4,46M 6S
6,4,44M 50S
8,4,44M 21S
10,4,43M 56S
12,4,43M 5S
12,7,42M 51S
12,9,42M 35S
15,9,42M 18S
18,9,41M 7S
18,11,40M 52S
21,11,40M 42S
24,11,40M 23S
24,13,40M 3S
26,13,39M 36S
26,16,39M 14S
26,18,38M 33S
26,20,37M 54S
26,23,37M 29S
28,23,37M 9S
28,25,36M 48S
28,26,36M 28S
28,27,36M 28S
29,27,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,27,35M 45S
33,27,35M 15S
33,29,35M 1S
34,29,34M 48S
37,29,34M 28S
37,30,33M 55S
39,30,33M 33S
39,31,33M 31S
39,32,33M 31S
42,32,32M 56S
44,32,32M 33S
45,32,31M 57S
46,32,31M 57S
48,32,31M 23S
48,33,31M 5S
48,34,31M 5S
50,34,30M 42S
50,37,30M 7S
50,40,29M 31S
53,40,29M 6S
53,42,28M 45S
56,42,28M 35S
56,43,28M 23S
56,44,28M 23S
58,44,28M 8S
60,44,27M 50S
60,46,27M 40S
60,47,27M 40S
60,49,27M 9S
60,51,26M 21S
63,51,25M 1S
63,53,24M 41S
65,53,24M 28S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,55,23M 17S
67,55,22M 9S
70,55,21M 24S
72,55,20M 57S
72,57,20M 52S
72,59,20M 18S
72,62,18M 55S
75,62,18M 28S
75,64,18M 15S
78,64,17M 55S
78,66,16M 52S
81,66,16M 37S
81,69,16M 21S
84,69,15M 59S
84,72,15M 12S
85,72,13M 39S
86,72,13M 39S
86,74,13M 17S
86,76,12M 45S
89,76,12M 33S
91,76,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
92,76,11M 16S
93,76,11M 16S
96,76,10M 20S
96,78,10M 1S
98,78,9M 32S
98,79,9M 21S
98,80,9M 21S
100,80,9M 4S
103,80,8M 29S
103,82,8M 13S
105,82,7M 3S
106,82,7M 3S
108,82,5M 37S
109,82,4M 48S
109,84,4M 36S
109,86,3M 46S
109,88,2M 32S
109,91,1M 59S
111,91,1M 34S
111,94,1M 23S
112,94,1M 12S
113,94,1M 12S
115,94,25S
End of 4th quarter,NA,0S
