New York,Miami,time_rem
11-15,10-14,48M 0S
0,2,47M 46S
2,2,47M 25S
2,5,46M 57S
2,6,45M 56S
2,7,45M 56S
2,8,45M 34S
2,9,45M 34S
2,11,44M 50S
4,11,43M 39S
6,11,43M 15S
6,12,42M 33S
6,13,42M 33S
8,13,42M 17S
8,14,41M 56S
8,15,41M 56S
8,18,41M 22S
9,18,41M 7S
9,20,40M 52S
11,20,40M 40S
13,20,40M 29S
14,20,40M 29S
14,23,40M 12S
17,23,39M 52S
17,24,39M 27S
17,25,39M 27S
20,25,38M 33S
20,26,38M 15S
20,27,38M 15S
22,27,37M 52S
23,27,37M 14S
24,27,36M 20S
25,27,36M 20S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,27,35M 39S
27,30,35M 20S
29,30,35M 3S
32,30,34M 39S
34,30,34M 4S
37,30,33M 25S
40,30,32M 59S
42,30,32M 18S
42,31,31M 28S
42,32,31M 28S
42,35,30M 48S
42,38,30M 7S
42,41,29M 22S
44,41,29M 2S
44,44,28M 16S
46,44,28M 0S
46,47,27M 22S
49,47,27M 9S
49,50,26M 49S
49,53,26M 18S
52,53,26M 1S
52,54,25M 7S
52,55,25M 7S
55,55,24M 52S
55,57,24M 30S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,57,23M 44S
57,59,23M 26S
59,59,23M 14S
61,59,22M 47S
64,59,22M 3S
64,60,21M 34S
64,61,21M 34S
66,61,21M 9S
66,63,20M 50S
67,63,20M 33S
68,63,20M 33S
68,65,19M 57S
70,65,19M 46S
70,66,18M 53S
70,67,18M 53S
72,67,18M 33S
74,67,16M 40S
74,70,16M 27S
75,70,16M 12S
75,72,14M 53S
76,72,14M 29S
77,72,14M 29S
Jump ball: J. Randle vs. K. Nunn (D. Rose gains possession),NA,13M 53S
79,72,13M 50S
82,72,13M 25S
82,74,13M 3S
82,75,12M 38S
82,76,12M 13S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
83,76,11M 0S
84,76,11M 0S
84,78,9M 38S
84,79,9M 0S
84,80,9M 0S
84,81,8M 40S
84,82,8M 40S
86,82,7M 42S
86,83,7M 9S
86,84,7M 9S
88,84,6M 23S
88,86,6M 6S
88,88,5M 2S
88,89,3M 50S
88,90,3M 50S
90,90,3M 38S
90,91,3M 12S
92,91,2M 56S
92,94,2M 48S
94,94,1M 50S
94,97,1M 4S
96,97,48S
96,98,6S
End of 4th quarter,NA,0S
