Atlanta,Orlando,time_rem
16-20,13-23,48M 0S
0,2,47M 35S
0,4,47M 11S
3,4,46M 19S
3,6,45M 54S
5,6,45M 37S
5,7,45M 5S
5,8,45M 5S
5,9,44M 41S
5,10,44M 41S
5,13,44M 10S
5,15,43M 37S
7,15,43M 9S
9,15,42M 8S
9,17,41M 48S
12,17,41M 38S
12,19,41M 23S
12,21,40M 58S
14,21,40M 39S
14,24,40M 20S
14,27,39M 58S
17,27,39M 42S
20,27,39M 10S
23,27,38M 9S
23,30,37M 57S
23,31,37M 57S
23,34,37M 39S
25,34,36M 56S
25,37,36M 38S
27,37,36M 32S
27,39,36M 20S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,39,35M 30S
29,41,32M 52S
29,42,32M 7S
29,43,32M 7S
31,43,31M 38S
33,43,31M 2S
33,45,30M 46S
33,47,30M 19S
33,48,30M 19S
33,51,29M 21S
36,51,29M 0S
36,53,28M 39S
38,53,27M 36S
38,55,27M 25S
40,55,27M 9S
40,56,26M 7S
40,57,26M 7S
41,57,25M 32S
42,57,25M 32S
42,59,24M 28S
42,61,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
45,61,23M 21S
45,64,22M 19S
46,64,22M 4S
47,64,22M 4S
50,64,21M 45S
53,64,21M 15S
53,65,20M 53S
53,66,20M 53S
56,66,20M 3S
57,66,19M 19S
58,66,19M 19S
60,66,18M 55S
61,66,18M 55S
61,68,18M 42S
61,69,18M 42S
61,72,18M 6S
63,72,17M 46S
65,72,17M 20S
65,74,17M 6S
65,75,16M 42S
65,76,16M 42S
65,77,16M 16S
65,78,16M 16S
66,78,16M 3S
67,78,16M 3S
67,79,15M 18S
67,80,15M 18S
67,83,14M 56S
69,83,14M 27S
69,84,14M 15S
69,85,14M 15S
70,85,14M 1S
70,88,13M 48S
71,88,13M 29S
72,88,13M 29S
75,88,13M 4S
75,90,12M 45S
78,90,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,92,11M 47S
81,92,11M 27S
81,94,10M 41S
84,94,10M 28S
86,94,9M 10S
87,94,8M 45S
88,94,8M 45S
88,96,8M 20S
88,99,7M 39S
88,102,7M 7S
90,102,6M 58S
90,104,6M 44S
90,105,6M 8S
90,106,6M 8S
93,106,5M 56S
96,106,5M 27S
99,106,4M 41S
102,106,4M 15S
102,107,3M 28S
102,108,3M 28S
105,108,3M 14S
105,109,2M 22S
105,110,2M 22S
108,110,1M 31S
111,110,1M 9S
111,112,18S
112,112,8S
113,112,8S
114,112,1S
115,112,1S
End of 4th quarter,NA,0S
