Memphis,Oklahoma City,time_rem
21-20,19-25,48M 0S
0,0,47M 44S
0,2,47M 40S
2,2,46M 54S
3,2,46M 22S
4,2,46M 22S
4,4,46M 12S
6,4,45M 33S
6,7,45M 9S
8,7,44M 51S
8,9,43M 35S
11,9,43M 23S
12,9,42M 59S
13,9,42M 59S
16,9,42M 37S
17,9,42M 8S
18,9,42M 8S
18,11,41M 38S
18,13,40M 48S
18,15,40M 24S
18,17,39M 35S
19,17,39M 0S
19,18,38M 42S
19,21,38M 6S
21,21,37M 51S
24,21,36M 57S
26,21,36M 36S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,21,35M 41S
28,23,35M 29S
28,25,35M 8S
28,27,34M 36S
28,29,34M 20S
30,29,33M 25S
30,31,32M 51S
30,33,31M 43S
30,34,31M 43S
31,34,31M 25S
32,34,31M 25S
34,34,30M 55S
35,34,30M 55S
37,34,30M 23S
37,36,30M 9S
37,39,29M 43S
40,39,29M 26S
40,41,29M 9S
40,44,28M 15S
40,46,27M 20S
40,48,26M 51S
43,48,26M 30S
43,51,26M 13S
45,51,25M 55S
45,53,25M 35S
47,53,24M 33S
49,53,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,55,23M 40S
49,57,23M 24S
49,59,23M 6S
Jump ball: A. Horford vs. J. Valančiūnas (A. Horford gains possession),NA,22M 27S
49,61,22M 6S
51,61,21M 45S
53,61,20M 29S
55,61,19M 48S
55,62,19M 44S
57,62,19M 30S
57,63,19M 11S
59,63,18M 54S
62,63,18M 35S
64,63,17M 22S
67,63,16M 54S
67,64,16M 37S
67,65,16M 37S
69,65,16M 16S
69,67,16M 3S
72,67,15M 18S
74,67,14M 42S
74,70,14M 24S
76,70,14M 9S
78,70,13M 41S
80,70,13M 9S
82,70,12M 38S
82,73,12M 26S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,73,11M 38S
87,73,11M 3S
87,76,10M 43S
90,76,10M 11S
90,79,9M 50S
90,81,9M 27S
93,81,9M 10S
93,83,8M 28S
93,85,8M 8S
95,85,7M 49S
97,85,7M 16S
99,85,7M 1S
99,87,6M 45S
101,87,6M 16S
101,90,5M 58S
103,90,5M 42S
104,90,5M 42S
104,91,5M 34S
104,92,5M 3S
104,93,5M 3S
106,93,4M 46S
106,95,4M 33S
108,95,4M 6S
108,97,3M 40S
110,97,3M 21S
112,97,2M 35S
114,97,2M 8S
114,99,1M 58S
116,99,1M 32S
116,100,1M 20S
116,101,1M 20S
116,103,1M 3S
116,105,35S
116,107,2S
End of 4th quarter,NA,0S
