Minnesota,Golden State,time_rem
4-13,10-8,48M 0S
0,0,47M 40S
2,0,46M 57S
2,3,45M 29S
2,4,44M 2S
2,5,44M 2S
2,7,43M 25S
4,7,42M 34S
4,9,42M 9S
4,11,41M 41S
6,11,41M 19S
7,11,40M 55S
7,14,40M 45S
10,14,40M 30S
10,17,40M 10S
11,17,39M 29S
12,17,39M 29S
12,19,37M 36S
15,19,37M 19S
16,19,36M 59S
17,19,36M 59S
18,19,36M 33S
18,22,36M 24S
18,23,36M 24S
21,23,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,23,35M 18S
26,23,34M 50S
26,25,34M 31S
26,28,34M 10S
29,28,33M 44S
31,28,33M 12S
31,31,32M 51S
34,31,32M 26S
36,31,31M 44S
36,32,31M 23S
36,33,31M 23S
38,33,31M 10S
38,35,30M 7S
38,36,29M 54S
38,37,29M 54S
38,39,29M 38S
38,42,29M 17S
41,42,28M 50S
41,43,28M 24S
41,45,27M 59S
41,47,27M 24S
42,47,27M 19S
44,47,26M 55S
44,49,26M 38S
44,51,26M 14S
47,51,25M 16S
47,54,25M 6S
47,55,24M 47S
47,56,24M 47S
50,56,24M 32S
50,58,24M 9S
51,58,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,58,23M 19S
52,60,23M 5S
54,60,22M 52S
54,63,22M 37S
57,63,22M 26S
57,65,22M 11S
57,67,21M 50S
58,67,21M 33S
60,67,20M 30S
60,68,19M 48S
60,69,19M 48S
60,71,19M 26S
60,73,18M 44S
61,73,18M 9S
62,73,18M 9S
62,76,17M 36S
64,76,17M 13S
64,79,17M 5S
65,79,16M 17S
66,79,16M 1S
67,79,16M 1S
67,82,15M 49S
67,84,15M 28S
67,85,15M 2S
67,87,14M 39S
67,90,14M 10S
67,92,13M 42S
70,92,13M 34S
72,92,12M 58S
75,92,12M 46S
75,95,12M 33S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,98,11M 51S
77,98,11M 33S
79,98,11M 9S
79,100,10M 55S
79,102,10M 19S
81,102,10M 8S
81,104,9M 52S
84,104,9M 40S
84,106,9M 29S
86,106,8M 48S
88,106,7M 52S
89,106,7M 52S
89,108,7M 41S
91,108,7M 12S
92,108,6M 48S
93,108,6M 48S
93,109,6M 35S
93,110,6M 35S
96,110,6M 20S
96,112,5M 48S
97,112,5M 24S
98,112,5M 24S
100,112,4M 58S
100,114,4M 16S
100,116,3M 49S
101,116,3M 10S
102,116,3M 10S
102,118,2M 56S
104,118,2M 44S
104,119,2M 29S
104,120,2M 29S
106,120,2M 14S
108,120,1M 50S
108,121,1M 24S
109,121,1M 9S
109,123,37S
111,123,2S
End of 4th quarter,NA,0S
