LA Lakers,Houston,time_rem
8-3,3-5,48M 0S
0,0,47M 46S
2,0,46M 54S
2,1,45M 53S
2,3,45M 17S
4,3,45M 6S
6,3,44M 41S
7,3,44M 41S
9,3,43M 52S
11,3,43M 36S
12,3,43M 36S
14,3,43M 6S
14,6,42M 51S
16,6,42M 33S
18,6,41M 46S
18,7,41M 8S
18,8,41M 8S
18,10,40M 20S
18,12,39M 32S
21,12,39M 24S
21,15,38M 34S
21,16,38M 15S
23,16,37M 47S
25,16,36M 59S
25,19,36M 40S
25,20,36M 7S
25,21,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,23,35M 21S
26,23,35M 14S
29,23,35M 10S
29,25,34M 53S
29,28,34M 25S
31,28,34M 2S
33,28,33M 24S
36,28,32M 58S
38,28,32M 33S
38,29,32M 19S
38,30,32M 19S
38,32,31M 49S
41,32,31M 35S
41,34,31M 0S
42,34,30M 42S
44,34,30M 30S
47,34,30M 0S
47,36,29M 48S
49,36,29M 22S
51,36,29M 8S
52,36,28M 13S
53,36,28M 13S
55,36,27M 58S
55,39,27M 42S
56,39,27M 18S
56,41,26M 26S
56,42,26M 19S
58,42,25M 52S
59,42,25M 17S
60,42,25M 17S
60,44,25M 8S
62,44,24M 54S
64,44,24M 35S
64,46,24M 28S
65,46,24M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
67,46,23M 49S
67,49,23M 20S
68,49,23M 2S
71,49,22M 38S
73,49,21M 45S
76,49,21M 15S
76,52,20M 33S
76,54,20M 16S
78,54,19M 48S
78,56,19M 30S
78,57,19M 30S
78,59,18M 44S
78,62,18M 25S
78,63,18M 25S
78,65,17M 47S
79,65,17M 2S
80,65,17M 2S
83,65,16M 40S
83,67,16M 22S
83,70,15M 40S
83,72,13M 58S
85,72,13M 25S
85,73,13M 13S
88,73,12M 43S
88,74,12M 35S
88,75,12M 35S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,75,11M 31S
90,75,11M 31S
92,75,10M 18S
92,77,9M 53S
94,77,9M 38S
94,79,9M 29S
96,79,9M 17S
98,79,9M 1S
98,82,8M 29S
100,82,8M 13S
102,82,7M 4S
102,84,6M 18S
104,84,6M 2S
104,86,5M 13S
104,89,4M 54S
105,89,4M 32S
106,89,4M 32S
108,89,4M 14S
108,91,3M 54S
108,92,3M 54S
110,92,3M 11S
110,94,2M 49S
112,94,2M 19S
113,94,2M 19S
113,96,2M 5S
115,96,1M 45S
117,96,1M 14S
117,97,59S
120,97,47S
120,100,41S
120,102,14S
End of 4th quarter,NA,0S
