New York,Cleveland,time_rem
2-2,3-1,48M 0S
0,2,47M 42S
2,2,46M 59S
2,4,46M 39S
5,4,45M 10S
5,6,44M 15S
8,6,44M 5S
8,8,43M 34S
10,8,43M 22S
10,10,42M 37S
13,10,41M 43S
14,10,41M 12S
15,10,41M 12S
17,10,40M 18S
20,10,39M 59S
20,11,39M 43S
20,12,39M 43S
22,12,38M 56S
22,14,38M 17S
24,14,37M 57S
26,14,36M 45S
29,14,36M 11S
29,15,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,16,35M 30S
32,16,35M 14S
32,19,34M 22S
32,21,34M 3S
32,23,33M 36S
35,23,33M 11S
35,25,32M 42S
35,27,32M 30S
36,27,32M 20S
37,27,32M 20S
37,30,31M 49S
37,31,31M 18S
37,32,31M 18S
37,34,31M 1S
39,34,30M 50S
39,36,29M 25S
40,36,29M 1S
40,38,28M 10S
40,40,27M 33S
43,40,26M 45S
43,41,26M 35S
43,42,26M 35S
44,42,26M 22S
45,42,26M 22S
47,42,25M 53S
47,44,24M 32S
50,44,24M 16S
50,46,24M 2S
53,46,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,46,23M 48S
54,49,23M 24S
56,49,23M 2S
56,50,22M 48S
56,52,21M 56S
56,55,21M 26S
58,55,20M 45S
59,55,19M 42S
60,55,19M 42S
60,58,19M 16S
62,58,18M 13S
63,58,17M 32S
64,58,17M 32S
64,59,17M 14S
64,60,17M 14S
66,60,17M 5S
68,60,15M 9S
68,62,14M 35S
69,62,13M 46S
69,64,13M 32S
71,64,12M 32S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
73,64,11M 11S
75,64,10M 54S
75,66,10M 18S
78,66,10M 2S
78,69,7M 54S
78,70,7M 31S
78,71,7M 31S
80,71,7M 12S
80,73,7M 0S
82,73,6M 10S
85,73,5M 32S
85,75,5M 17S
85,78,4M 47S
88,78,4M 24S
88,80,4M 0S
90,80,3M 41S
93,80,2M 51S
93,82,2M 8S
93,83,1M 41S
93,84,1M 35S
93,86,1M 2S
95,86,23S
End of 4th quarter,NA,0S
