Charlotte,San Antonio,time_rem
21-21,22-18,48M 0S
0,3,47M 42S
2,3,46M 33S
2,5,45M 56S
4,5,45M 41S
6,5,45M 0S
8,5,44M 34S
8,7,44M 14S
8,8,43M 51S
8,9,43M 51S
10,9,43M 38S
10,11,42M 26S
13,11,42M 8S
13,14,41M 26S
Jump ball: J. Poeltl vs. M. Bridges (P. Mills gains possession),NA,40M 52S
16,14,40M 15S
16,16,39M 55S
17,16,39M 42S
18,16,39M 42S
19,16,39M 33S
20,16,39M 33S
20,17,39M 5S
23,17,38M 47S
25,17,38M 18S
28,17,37M 52S
28,19,37M 9S
28,20,36M 56S
28,21,36M 56S
31,21,36M 15S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,23,35M 18S
31,26,33M 53S
33,26,33M 12S
33,28,32M 54S
33,29,32M 54S
33,32,32M 33S
36,32,31M 28S
36,34,31M 6S
38,34,30M 16S
41,34,29M 32S
41,35,29M 17S
43,35,29M 3S
44,35,28M 31S
44,37,28M 8S
47,37,27M 28S
47,39,27M 4S
49,39,26M 46S
49,41,26M 26S
51,41,26M 3S
53,41,25M 21S
53,43,25M 2S
53,44,24M 36S
53,45,24M 36S
55,45,24M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,45,23M 7S
57,45,23M 7S
57,48,22M 40S
57,51,22M 0S
57,53,20M 59S
58,53,20M 46S
59,53,20M 46S
61,53,20M 18S
62,53,20M 18S
62,55,19M 4S
62,57,16M 57S
62,60,15M 57S
65,60,15M 40S
65,62,15M 21S
66,62,15M 3S
67,62,15M 3S
67,65,14M 46S
70,65,14M 22S
70,67,13M 56S
72,67,13M 18S
Jump ball: B. Biyombo vs. D. Vassell (B. Biyombo gains possession),NA,12M 26S
74,67,12M 21S
74,69,12M 11S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
74,71,11M 44S
74,74,11M 0S
74,76,10M 37S
76,76,10M 22S
78,76,9M 9S
78,78,8M 50S
78,79,8M 37S
80,79,7M 54S
82,79,6M 36S
82,82,6M 11S
84,82,5M 47S
85,82,5M 2S
86,82,5M 2S
86,84,4M 49S
86,86,4M 18S
88,86,3M 43S
89,86,3M 43S
89,87,3M 33S
92,87,3M 17S
93,87,2M 36S
93,90,2M 20S
93,92,1M 45S
93,93,1M 45S
96,93,1M 26S
96,94,22S
96,95,22S
97,95,18S
98,95,18S
98,97,9S
99,97,8S
100,97,8S
End of 4th quarter,NA,0S
