Minnesota,Oklahoma City,time_rem
6-17,10-12,48M 0S
0,0,47M 47S
0,3,47M 44S
0,5,47M 17S
0,6,46M 39S
0,8,46M 24S
0,10,46M 6S
2,10,45M 55S
2,12,45M 45S
2,13,45M 45S
2,15,45M 15S
5,15,45M 0S
5,17,44M 45S
7,17,44M 27S
7,19,44M 0S
10,19,43M 23S
10,21,42M 59S
11,21,42M 48S
11,23,42M 36S
13,23,41M 57S
13,25,41M 42S
15,25,41M 28S
17,25,39M 51S
17,27,39M 4S
19,27,38M 48S
19,30,38M 27S
19,31,38M 5S
19,32,38M 5S
19,34,37M 42S
21,34,37M 29S
21,37,37M 7S
21,39,36M 42S
21,40,36M 42S
24,40,36M 34S
24,43,36M 20S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,45,35M 36S
25,45,35M 6S
26,45,35M 6S
26,47,34M 57S
26,48,34M 57S
28,48,34M 41S
30,48,34M 20S
30,50,34M 9S
32,50,33M 48S
32,53,33M 34S
34,53,33M 20S
36,53,32M 42S
36,54,32M 25S
36,55,32M 25S
39,55,32M 15S
39,57,31M 27S
41,57,31M 1S
41,60,30M 47S
42,60,30M 35S
42,62,30M 22S
44,62,30M 10S
44,65,29M 43S
44,66,29M 24S
44,67,29M 24S
Jump ball: J. McDaniels vs. S. Gilgeous,Alexander (N. Reid gains possession),28M 45S
47,67,28M 38S
47,68,28M 21S
49,68,28M 4S
49,69,27M 55S
49,70,27M 27S
49,71,27M 27S
51,71,27M 6S
51,74,26M 57S
54,74,26M 41S
54,75,26M 33S
57,75,26M 13S
58,75,25M 51S
58,78,25M 39S
60,78,25M 22S
60,81,25M 7S
60,83,24M 53S
62,83,24M 17S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,83,23M 49S
67,83,23M 22S
69,83,22M 50S
71,83,22M 20S
71,86,22M 1S
73,86,21M 31S
75,86,20M 43S
77,86,20M 0S
79,86,19M 39S
81,86,18M 33S
81,88,18M 9S
81,90,17M 46S
83,90,17M 18S
83,92,16M 55S
86,92,16M 18S
88,92,15M 54S
88,94,15M 40S
89,94,15M 30S
90,94,15M 30S
93,94,14M 30S
93,96,13M 5S
94,96,12M 17S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
95,96,11M 7S
96,96,11M 7S
98,96,9M 44S
98,98,9M 25S
101,98,9M 7S
104,98,8M 39S
104,100,8M 21S
106,100,7M 42S
106,102,7M 20S
106,104,6M 44S
108,104,5M 57S
108,107,5M 26S
108,109,4M 45S
110,109,4M 30S
110,111,4M 3S
112,111,3M 31S
112,113,3M 24S
112,114,3M 24S
113,114,3M 9S
114,114,3M 9S
114,116,2M 57S
116,116,2M 41S
118,116,2M 14S
118,118,2M 0S
118,120,1M 16S
End of 4th quarter,NA,0S
