Indiana,Utah,time_rem
26-29,42-14,48M 0S
0,0,47M 36S
1,0,47M 36S
2,0,47M 36S
2,2,47M 25S
2,4,46M 46S
2,7,46M 19S
4,7,46M 1S
4,9,45M 28S
6,9,44M 49S
6,10,44M 29S
8,10,43M 50S
11,10,43M 20S
11,13,43M 7S
13,13,42M 45S
15,13,42M 23S
15,15,42M 2S
17,15,41M 54S
19,15,41M 30S
20,15,41M 12S
21,15,41M 12S
21,17,40M 52S
23,17,39M 28S
25,17,38M 57S
25,20,38M 38S
27,20,38M 24S
27,22,38M 2S
27,24,37M 33S
29,24,37M 18S
32,24,36M 53S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,27,35M 47S
35,27,35M 35S
37,27,34M 38S
37,28,34M 26S
37,29,34M 26S
40,29,33M 58S
41,29,33M 6S
42,29,33M 6S
42,31,32M 42S
43,31,32M 19S
44,31,32M 19S
44,33,32M 11S
44,36,31M 52S
45,36,31M 39S
46,36,31M 39S
48,36,31M 18S
51,36,30M 59S
53,36,30M 8S
53,38,29M 8S
55,38,28M 56S
55,40,28M 34S
57,40,28M 16S
57,42,28M 5S
58,42,27M 44S
59,42,27M 44S
59,44,27M 14S
59,47,26M 54S
61,47,26M 21S
61,49,26M 0S
61,50,25M 2S
61,51,25M 2S
61,52,25M 2S
61,53,24M 45S
61,54,24M 45S
63,54,24M 33S
63,56,24M 24S
66,56,24M 4S
69,56,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
69,58,23M 47S
69,59,23M 24S
69,60,23M 24S
71,60,22M 34S
71,62,22M 10S
71,65,21M 36S
74,65,20M 54S
74,67,20M 14S
77,67,19M 56S
77,70,18M 51S
79,70,18M 42S
79,72,18M 20S
79,75,18M 2S
81,75,17M 32S
82,75,17M 32S
84,75,17M 2S
84,78,16M 47S
86,78,16M 12S
86,81,14M 43S
89,81,14M 19S
89,84,12M 54S
89,87,12M 33S
89,89,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
91,89,11M 48S
91,91,11M 28S
91,94,11M 2S
94,94,10M 48S
94,95,9M 44S
94,96,9M 44S
97,96,8M 41S
97,98,8M 26S
99,98,8M 15S
99,101,7M 33S
99,103,6M 12S
99,106,5M 47S
99,108,4M 37S
102,108,3M 30S
103,108,3M 30S
103,110,3M 17S
103,112,1M 40S
104,112,1M 11S
105,112,1M 11S
Jump ball: R. Gobert vs. D. Sabonis (M. Conley gains possession),NA,1M 3S
105,113,50S
107,113,38S
107,114,36S
107,115,36S
107,116,26S
107,117,26S
109,117,22S
109,118,21S
109,119,21S
111,119,7S
End of 4th quarter,NA,0S
