Boston,Sacramento,time_rem
11-9,10-11,48M 0S
0,0,47M 43S
2,0,47M 20S
4,0,46M 49S
4,2,46M 9S
4,4,45M 38S
5,4,45M 24S
6,4,45M 24S
7,4,44M 46S
7,5,44M 32S
8,5,44M 13S
9,5,44M 13S
9,6,43M 44S
9,7,43M 44S
11,7,43M 30S
14,7,43M 1S
14,10,42M 48S
16,10,42M 28S
16,13,42M 19S
19,13,41M 59S
20,13,40M 45S
21,13,40M 45S
21,15,40M 32S
23,15,39M 38S
24,15,39M 38S
24,17,39M 28S
24,19,37M 45S
24,22,36M 52S
26,22,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,22,35M 17S
30,22,34M 44S
32,22,34M 29S
32,24,34M 10S
34,24,33M 57S
34,27,33M 43S
34,30,33M 12S
36,30,32M 32S
36,32,32M 12S
36,34,31M 47S
38,34,31M 28S
41,34,31M 11S
41,36,30M 58S
44,36,30M 23S
44,39,28M 16S
44,41,27M 38S
44,43,26M 44S
44,45,26M 19S
46,45,25M 51S
46,47,25M 28S
48,47,25M 9S
50,47,24M 34S
51,47,24M 34S
51,50,24M 26S
51,52,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
51,54,23M 25S
53,54,23M 3S
53,56,22M 50S
54,56,22M 37S
55,56,22M 37S
55,59,22M 22S
56,59,22M 2S
57,59,22M 2S
59,59,21M 39S
59,60,21M 27S
59,61,21M 27S
62,61,20M 10S
64,61,20M 0S
66,61,19M 39S
68,61,18M 38S
68,63,18M 11S
71,63,17M 55S
74,63,17M 30S
74,66,17M 12S
74,69,16M 32S
74,71,15M 56S
74,73,15M 11S
75,73,14M 58S
76,73,14M 58S
78,73,14M 39S
78,75,14M 11S
79,75,13M 32S
79,76,13M 16S
79,77,13M 16S
79,79,12M 43S
82,79,12M 5S
82,81,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,84,11M 40S
82,85,11M 6S
82,86,11M 6S
84,86,10M 44S
85,86,10M 4S
85,87,9M 54S
85,89,9M 15S
87,89,8M 54S
89,89,8M 6S
92,89,7M 20S
94,89,6M 39S
94,90,6M 29S
94,91,6M 29S
96,91,5M 58S
96,93,5M 40S
97,93,5M 24S
97,95,5M 11S
97,96,4M 46S
97,97,4M 46S
97,100,4M 23S
99,100,3M 47S
100,100,3M 26S
100,102,3M 17S
101,102,3M 1S
102,102,3M 1S
102,105,2M 46S
105,105,2M 26S
105,107,2M 4S
105,108,2M 4S
105,110,1M 32S
108,110,1M 23S
108,111,1M 11S
108,112,1M 11S
110,112,1M 6S
111,112,1M 6S
111,114,52S
111,115,0S
111,116,0S
End of 4th quarter,NA,0S
