Denver,Golden State,time_rem
34-20,26-28,48M 0S
0,0,47M 46S
0,2,47M 30S
2,2,47M 15S
2,5,47M 5S
3,5,46M 40S
4,5,46M 40S
4,8,46M 29S
4,11,45M 56S
6,11,45M 38S
6,13,44M 51S
8,13,44M 25S
10,13,43M 48S
12,13,43M 21S
12,14,43M 6S
12,15,43M 6S
12,17,42M 50S
12,20,42M 36S
14,20,42M 13S
17,20,41M 44S
19,20,41M 20S
Jump ball: N. Jokić vs. A. Wiggins (A. Gordon gains possession),NA,40M 55S
22,20,40M 47S
22,23,40M 32S
24,23,40M 15S
Jump ball: S. Curry vs. J. Murray (J. Poole gains possession),NA,39M 55S
26,23,39M 42S
26,26,39M 20S
28,26,38M 51S
29,26,38M 51S
29,29,38M 7S
29,31,37M 40S
31,31,37M 26S
32,31,36M 59S
32,32,36M 56S
32,33,36M 56S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,33,34M 7S
37,33,33M 7S
37,35,32M 47S
39,35,32M 31S
42,35,32M 1S
43,35,31M 42S
43,36,31M 9S
43,39,30M 44S
45,39,29M 38S
45,42,29M 18S
47,42,29M 4S
48,42,29M 4S
48,45,28M 31S
50,45,28M 19S
50,47,28M 7S
52,47,27M 43S
52,49,27M 27S
52,51,26M 8S
53,51,25M 50S
54,51,25M 50S
54,54,25M 37S
55,54,25M 26S
56,54,25M 26S
58,54,24M 57S
61,54,24M 31S
61,55,24M 14S
61,56,24M 14S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,56,23M 42S
63,58,23M 29S
63,60,22M 46S
63,61,22M 24S
63,62,22M 24S
63,64,21M 17S
63,67,20M 15S
66,67,19M 27S
66,69,19M 7S
66,71,18M 34S
68,71,18M 12S
68,74,18M 5S
68,77,17M 39S
71,77,17M 11S
73,77,16M 49S
73,80,16M 28S
76,80,16M 16S
76,82,16M 2S
76,84,15M 37S
78,84,15M 22S
78,87,15M 9S
80,87,14M 52S
80,88,14M 40S
80,89,14M 40S
81,89,14M 22S
83,89,13M 36S
83,90,13M 36S
83,91,13M 36S
83,94,13M 19S
83,97,12M 50S
83,99,12M 17S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,99,11M 14S
86,99,10M 38S
87,99,10M 38S
87,101,9M 53S
87,103,9M 14S
88,103,8M 51S
89,103,8M 51S
89,105,8M 33S
89,107,7M 58S
91,107,7M 42S
Jump ball: F. Campazzo vs. J. Toscano,Anderson (N. Jokić gains possession),6M 25S
93,107,5M 48S
95,107,5M 16S
96,107,4M 48S
97,107,4M 48S
97,109,4M 27S
98,109,4M 14S
98,110,4M 3S
98,111,4M 3S
100,111,2M 37S
101,111,1M 50S
102,111,1M 50S
104,111,1M 16S
104,112,42S
104,113,42S
106,113,32S
106,114,28S
106,115,28S
107,115,24S
107,116,14S
End of 4th quarter,NA,0S
