Milwaukee,Minnesota,time_rem
34-20,14-42,48M 0S
0,0,47M 35S
2,0,47M 1S
5,0,46M 11S
5,2,44M 46S
Jump ball: B. Lopez vs. J. Okogie (P. Connaughton gains possession),NA,43M 24S
7,2,43M 8S
7,3,42M 55S
7,5,42M 36S
9,5,42M 5S
10,5,41M 46S
11,5,41M 46S
13,5,41M 25S
16,5,40M 7S
16,8,39M 38S
18,8,39M 15S
18,11,38M 58S
20,11,38M 45S
20,13,37M 39S
22,13,37M 26S
22,16,37M 12S
23,16,36M 59S
24,16,36M 59S
24,19,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,20,35M 10S
24,21,35M 10S
24,23,34M 48S
27,23,34M 30S
29,23,34M 3S
29,26,33M 30S
31,26,33M 12S
34,26,32M 51S
34,28,32M 32S
36,28,32M 15S
36,31,32M 3S
38,31,31M 48S
38,34,31M 26S
41,34,31M 2S
43,34,30M 33S
45,34,30M 0S
45,37,29M 22S
47,37,29M 9S
47,40,28M 22S
50,40,28M 5S
50,42,27M 17S
52,42,26M 43S
53,42,25M 56S
56,42,25M 31S
58,42,25M 6S
58,43,24M 56S
58,44,24M 56S
61,44,24M 48S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,44,23M 34S
64,44,23M 34S
67,44,23M 8S
67,47,22M 56S
69,47,22M 37S
69,48,22M 25S
69,50,22M 19S
70,50,21M 58S
71,50,21M 58S
71,52,21M 49S
74,52,21M 41S
77,52,21M 21S
77,55,21M 6S
79,55,20M 53S
80,55,20M 53S
81,55,20M 37S
82,55,20M 37S
82,58,20M 28S
84,58,19M 59S
84,61,19M 43S
84,62,18M 56S
84,63,18M 56S
86,63,18M 48S
87,63,18M 48S
87,66,18M 40S
89,66,17M 45S
89,68,17M 26S
90,68,16M 54S
91,68,16M 54S
91,70,16M 33S
92,70,16M 26S
93,70,16M 26S
95,70,16M 2S
95,72,15M 48S
98,72,15M 13S
99,72,14M 38S
100,72,14M 12S
101,72,14M 12S
101,73,13M 58S
101,74,13M 58S
101,76,13M 31S
101,77,13M 6S
104,77,12M 49S
104,78,12M 18S
104,79,12M 18S
106,79,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
109,79,11M 20S
109,81,10M 53S
109,83,10M 26S
112,83,10M 9S
112,85,8M 59S
114,85,8M 22S
Jump ball: T. Antetokounmpo vs. J. McDaniels (J. Nwora gains possession),NA,7M 23S
114,87,6M 38S
114,89,5M 53S
114,90,5M 29S
114,91,5M 29S
114,94,5M 2S
116,94,4M 43S
116,95,3M 57S
116,96,3M 57S
119,96,3M 6S
119,98,2M 52S
122,98,2M 34S
122,99,1M 46S
122,100,1M 46S
122,101,1M 23S
125,101,1M 7S
125,103,56S
128,103,46S
128,104,37S
128,105,37S
130,105,19S
End of 4th quarter,NA,0S
