Orlando,New York,time_rem
13-27,21-21,48M 0S
0,3,47M 44S
0,5,47M 8S
2,5,46M 2S
3,5,46M 2S
5,5,45M 31S
5,8,45M 12S
8,8,44M 57S
11,8,44M 10S
13,8,43M 6S
14,8,43M 6S
14,10,42M 47S
17,10,42M 23S
20,10,41M 50S
Jump ball: F. Ntilikina vs. C. Randle (J. Randle gains possession),NA,41M 13S
20,13,40M 58S
22,13,39M 53S
22,15,39M 38S
22,17,39M 3S
22,19,38M 16S
23,19,37M 44S
24,19,37M 44S
25,19,37M 44S
25,21,36M 55S
25,22,36M 55S
26,22,36M 44S
26,24,36M 30S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,24,35M 34S
28,25,34M 18S
29,25,34M 3S
29,27,33M 36S
29,29,33M 5S
31,29,32M 47S
31,31,32M 19S
31,33,31M 34S
32,33,30M 58S
34,33,30M 35S
35,33,29M 44S
36,33,29M 44S
36,35,28M 48S
38,35,28M 30S
38,37,28M 18S
38,40,27M 52S
38,43,27M 24S
40,43,27M 3S
40,44,25M 21S
42,44,25M 1S
44,44,24M 42S
44,45,24M 39S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
44,48,21M 48S
44,51,21M 13S
46,51,20M 55S
46,54,20M 37S
46,57,20M 6S
48,57,19M 43S
48,59,19M 24S
49,59,18M 41S
50,59,18M 41S
50,61,18M 25S
50,63,17M 54S
50,64,17M 23S
52,64,16M 40S
52,66,15M 40S
52,67,15M 40S
54,67,15M 25S
54,69,15M 3S
56,69,14M 16S
56,72,13M 59S
59,72,13M 39S
61,72,13M 4S
64,72,12M 33S
66,72,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
68,72,11M 37S
70,72,11M 4S
70,74,10M 48S
72,74,10M 33S
75,74,9M 54S
75,77,9M 24S
75,80,8M 41S
77,80,8M 22S
79,80,7M 56S
82,80,7M 18S
85,80,6M 40S
85,82,5M 38S
87,82,5M 15S
87,85,5M 3S
87,88,3M 49S
87,90,3M 12S
87,92,2M 39S
89,92,1M 49S
90,92,1M 15S
90,94,31S
93,94,27S
Jump ball: E. Fournier vs. R. Bullock (N. Vučević gains possession),NA,22S
End of 4th quarter,NA,0S
