Indiana,Milwaukee,time_rem
19-23,28-14,48M 0S
0,0,47M 39S
3,0,47M 20S
3,2,47M 9S
3,3,46M 47S
3,4,46M 47S
3,5,46M 47S
3,7,46M 5S
3,9,45M 43S
3,11,45M 17S
3,14,44M 37S
3,16,44M 18S
3,19,43M 58S
5,19,43M 42S
7,19,43M 16S
7,22,42M 56S
7,24,42M 33S
8,24,42M 2S
9,24,42M 2S
9,27,41M 46S
9,29,41M 24S
10,29,41M 15S
10,32,41M 2S
12,32,40M 46S
12,35,40M 27S
14,35,40M 4S
16,35,39M 30S
18,35,39M 29S
18,38,39M 19S
18,41,39M 4S
21,41,38M 52S
21,44,38M 38S
23,44,38M 20S
23,46,37M 24S
26,46,37M 6S
26,48,36M 31S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,48,35M 31S
31,48,35M 1S
31,51,34M 42S
31,53,33M 27S
33,53,33M 18S
33,55,33M 0S
33,57,32M 45S
35,57,32M 30S
35,60,32M 15S
38,60,31M 35S
38,62,31M 19S
40,62,31M 6S
42,62,30M 39S
44,62,30M 23S
46,62,30M 4S
46,65,29M 43S
47,65,29M 28S
48,65,29M 28S
48,68,28M 26S
50,68,28M 12S
52,68,27M 41S
52,69,27M 26S
52,70,27M 26S
54,70,27M 13S
54,72,26M 57S
55,72,26M 28S
56,72,26M 28S
56,75,26M 11S
58,75,26M 4S
58,77,25M 29S
58,79,24M 51S
60,79,24M 43S
60,81,24M 33S
60,83,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,86,23M 0S
62,86,22M 10S
64,86,21M 44S
64,87,21M 26S
66,87,21M 6S
66,89,20M 56S
66,92,20M 8S
68,92,19M 33S
68,94,19M 21S
70,94,19M 3S
70,95,18M 47S
73,95,17M 49S
76,95,17M 23S
76,97,17M 9S
78,97,16M 48S
79,97,16M 48S
79,100,16M 36S
82,100,15M 27S
83,100,15M 11S
84,100,15M 11S
84,102,14M 58S
86,102,14M 45S
89,102,14M 15S
89,104,14M 2S
89,106,13M 49S
92,106,13M 36S
94,106,13M 11S
94,109,12M 59S
94,110,12M 36S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,113,11M 43S
97,113,10M 59S
100,113,10M 35S
100,114,10M 22S
100,116,9M 4S
100,119,8M 37S
100,121,8M 1S
102,121,7M 51S
102,124,7M 39S
104,124,7M 28S
104,126,7M 11S
106,126,6M 56S
108,126,6M 37S
108,129,6M 24S
108,132,5M 34S
108,134,3M 35S
110,134,2M 56S
112,134,2M 7S
113,134,2M 7S
Jump ball: T. Antetokounmpo vs. K. Martin (S. Merrill gains possession),NA,42S
113,137,40S
113,139,20S
113,140,20S
End of 4th quarter,NA,0S
