Milwaukee,Phoenix,time_rem
3-2,2-3,48M 0S
2,0,47M 44S
Jump ball: J. Crowder vs. B. Lopez (M. Bridges gains possession),NA,46M 27S
2,1,46M 19S
2,2,46M 19S
2,5,45M 59S
4,5,45M 32S
4,7,45M 23S
4,9,44M 48S
6,9,44M 34S
9,9,44M 13S
9,12,43M 54S
9,14,43M 33S
11,14,43M 14S
11,16,43M 5S
11,18,42M 32S
14,18,42M 17S
14,21,41M 51S
16,21,41M 30S
16,23,41M 20S
16,25,40M 55S
16,26,40M 27S
16,27,40M 27S
16,29,39M 38S
16,32,39M 10S
18,32,38M 50S
21,32,37M 51S
21,34,37M 28S
21,37,36M 44S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,37,35M 39S
25,37,35M 5S
28,37,34M 44S
28,40,34M 2S
30,40,33M 46S
32,40,33M 31S
35,40,33M 3S
37,40,32M 41S
37,42,32M 20S
39,42,32M 6S
42,42,31M 48S
42,44,31M 35S
42,47,31M 18S
44,47,30M 55S
44,49,30M 37S
46,49,30M 14S
47,49,30M 14S
50,49,29M 46S
50,50,29M 31S
50,51,29M 31S
52,51,28M 47S
52,53,28M 35S
52,55,27M 33S
55,55,27M 13S
55,57,26M 20S
57,57,26M 2S
57,59,25M 48S
60,59,25M 27S
61,59,24M 51S
62,59,24M 51S
64,59,24M 7S
64,61,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,63,23M 40S
67,63,22M 35S
67,65,21M 58S
70,65,21M 44S
70,67,21M 25S
72,67,21M 15S
72,69,20M 51S
74,69,20M 38S
74,71,20M 19S
76,71,20M 8S
76,73,19M 51S
78,73,19M 20S
78,74,19M 2S
78,75,19M 2S
80,75,18M 48S
83,75,18M 31S
85,75,17M 43S
85,77,17M 26S
88,77,17M 16S
88,79,17M 1S
90,79,16M 44S
90,81,16M 35S
92,81,15M 58S
94,81,15M 22S
94,83,15M 11S
96,83,14M 54S
96,86,13M 49S
98,86,13M 31S
98,88,13M 16S
98,90,12M 43S
99,90,12M 17S
100,90,12M 17S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
102,90,11M 42S
102,92,11M 13S
104,92,10M 14S
104,94,9M 57S
106,94,9M 40S
108,94,9M 8S
108,97,8M 39S
108,100,7M 50S
110,100,7M 36S
110,102,6M 40S
112,102,6M 22S
113,102,6M 22S
113,105,6M 8S
113,107,5M 13S
114,107,4M 58S
116,107,3M 25S
117,107,3M 25S
117,110,3M 16S
117,111,2M 43S
117,112,2M 43S
120,112,2M 23S
120,114,2M 3S
120,117,1M 24S
120,119,56S
122,119,13S
123,119,9S
End of 4th quarter,NA,0S
