Philadelphia,LA Lakers,time_rem
32-13,28-17,48M 0S
0,2,47M 47S
2,2,47M 30S
2,4,46M 46S
2,7,46M 27S
5,7,46M 1S
7,7,45M 36S
7,9,44M 53S
10,9,44M 33S
10,10,43M 52S
12,10,43M 29S
15,10,43M 6S
15,12,42M 12S
16,12,41M 58S
16,13,41M 48S
16,16,41M 32S
18,16,41M 7S
18,19,40M 49S
20,19,39M 51S
21,19,39M 17S
21,21,39M 0S
23,21,38M 46S
23,24,38M 12S
25,24,37M 35S
27,24,36M 29S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,25,36M 0S
30,25,35M 56S
30,27,35M 37S
30,28,35M 37S
32,28,35M 23S
32,29,34M 37S
32,30,34M 37S
32,31,34M 37S
35,31,34M 3S
35,34,33M 41S
35,35,33M 15S
35,36,33M 15S
36,36,32M 37S
37,36,32M 37S
38,36,32M 18S
38,38,32M 8S
41,38,29M 19S
43,38,28M 44S
43,40,27M 53S
44,40,27M 29S
45,40,27M 29S
45,42,27M 6S
48,42,26M 59S
48,43,26M 43S
51,43,26M 31S
51,45,26M 11S
54,45,25M 54S
54,47,25M 28S
54,50,24M 55S
54,51,24M 33S
54,52,24M 33S
54,54,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,54,22M 59S
60,54,22M 48S
60,56,22M 26S
63,56,22M 10S
63,58,21M 48S
65,58,21M 27S
68,58,20M 26S
68,60,20M 6S
68,61,20M 6S
68,62,19M 42S
70,62,18M 45S
73,62,18M 20S
75,62,17M 30S
75,63,17M 8S
75,64,17M 8S
77,64,16M 40S
79,64,15M 57S
81,64,15M 19S
81,66,15M 2S
81,67,15M 2S
83,67,14M 51S
84,67,14M 51S
84,68,14M 34S
84,69,14M 0S
84,70,13M 27S
86,70,13M 17S
86,71,13M 8S
89,71,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,73,11M 46S
91,73,11M 34S
91,76,11M 1S
92,76,10M 46S
93,76,10M 46S
93,78,9M 32S
93,80,9M 7S
95,80,8M 45S
96,80,7M 11S
96,82,6M 59S
96,84,6M 22S
96,86,5M 51S
98,86,5M 28S
98,89,5M 6S
101,89,4M 46S
101,90,3M 53S
101,91,3M 53S
101,93,3M 25S
101,96,3M 3S
102,96,2M 46S
102,98,2M 22S
104,98,2M 0S
104,100,1M 51S
104,101,51S
107,101,30S
108,101,24S
109,101,24S
End of 4th quarter,NA,0S
