Houston,Portland,time_rem
16-53,40-29,48M 0S
0,2,47M 40S
0,4,47M 20S
3,4,47M 10S
3,7,46M 56S
5,7,46M 21S
5,9,45M 56S
6,9,45M 48S
7,9,45M 48S
7,12,45M 23S
7,14,44M 55S
9,14,44M 37S
11,14,44M 6S
11,17,43M 48S
13,17,43M 34S
15,17,43M 0S
15,20,42M 48S
18,20,42M 25S
18,23,42M 2S
21,23,41M 50S
21,26,41M 35S
22,26,41M 26S
23,26,41M 26S
24,26,41M 26S
24,29,41M 17S
24,32,40M 54S
24,35,40M 10S
24,37,39M 38S
24,40,39M 10S
24,41,38M 48S
24,42,38M 48S
26,42,38M 35S
26,45,37M 56S
27,45,37M 17S
28,45,37M 17S
28,46,37M 14S
28,47,37M 14S
31,47,36M 58S
31,50,36M 24S
32,50,36M 9S
33,50,36M 9S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,50,35M 44S
35,52,35M 31S
38,52,35M 7S
38,53,34M 54S
38,54,34M 54S
39,54,34M 45S
40,54,34M 45S
40,56,34M 2S
40,57,34M 2S
42,57,33M 30S
42,59,32M 32S
45,59,32M 12S
45,62,31M 57S
47,62,31M 38S
48,62,30M 49S
49,62,30M 49S
49,64,30M 32S
49,66,29M 37S
49,67,29M 37S
52,67,29M 13S
53,67,28M 51S
54,67,28M 51S
57,67,27M 55S
57,69,27M 37S
57,70,27M 37S
58,70,27M 24S
59,70,27M 24S
59,72,26M 45S
61,72,26M 30S
61,74,26M 9S
Jump ball: K. Martin vs. D. Lillard (J. Tate gains possession),NA,25M 7S
63,74,24M 59S
63,77,24M 42S
63,78,24M 3S
63,79,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,79,23M 47S
65,82,23M 33S
67,82,22M 27S
67,83,21M 40S
67,84,21M 40S
68,84,21M 30S
69,84,21M 30S
72,84,20M 57S
72,87,20M 39S
74,87,20M 26S
77,87,20M 4S
77,89,19M 46S
80,89,19M 27S
82,89,18M 59S
82,91,18M 29S
82,93,18M 14S
82,94,17M 52S
82,95,17M 52S
82,97,17M 41S
85,97,17M 23S
86,97,16M 21S
87,97,16M 21S
87,100,16M 11S
87,102,15M 41S
89,102,15M 29S
91,102,15M 1S
91,103,14M 51S
91,104,14M 51S
91,106,14M 27S
93,106,14M 12S
96,106,13M 56S
96,107,13M 38S
96,108,13M 38S
98,108,13M 25S
100,108,12M 30S
100,111,12M 8S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
100,112,11M 23S
103,112,11M 3S
103,114,10M 35S
106,114,10M 14S
106,115,10M 4S
106,116,10M 4S
108,116,9M 43S
111,116,9M 13S
111,117,8M 29S
111,119,8M 8S
113,119,7M 54S
113,121,7M 44S
113,122,7M 44S
113,124,7M 18S
114,124,7M 9S
115,124,7M 9S
115,126,6M 46S
115,128,6M 25S
115,129,5M 58S
115,130,5M 58S
116,130,5M 47S
117,130,5M 47S
117,132,5M 33S
117,134,4M 27S
118,134,3M 47S
119,134,3M 47S
119,136,3M 27S
121,136,2M 41S
121,138,2M 15S
123,138,2M 3S
123,139,1M 48S
123,140,1M 48S
126,140,1M 39S
129,140,1M 4S
End of 4th quarter,NA,0S
