Portland,San Antonio,time_rem
32-23,26-28,48M 0S
0,0,47M 44S
2,0,46M 38S
4,0,45M 55S
4,2,45M 41S
6,2,45M 23S
6,5,45M 2S
6,7,44M 37S
9,7,44M 26S
9,9,44M 4S
11,9,43M 53S
11,11,43M 26S
11,13,43M 6S
11,14,43M 6S
11,16,42M 48S
11,17,42M 48S
11,19,42M 18S
13,19,42M 8S
13,21,41M 52S
15,21,41M 18S
15,23,41M 5S
16,23,40M 53S
17,23,40M 53S
17,24,40M 38S
17,25,40M 38S
17,27,39M 57S
19,27,39M 37S
19,29,39M 19S
21,29,39M 4S
23,29,38M 27S
23,31,38M 13S
26,31,37M 41S
28,31,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,33,35M 26S
31,33,35M 7S
33,33,34M 13S
35,33,33M 47S
35,35,33M 26S
38,35,33M 1S
38,37,32M 41S
38,38,32M 6S
38,40,31M 26S
40,40,31M 7S
40,42,30M 26S
42,42,29M 24S
42,45,29M 6S
42,47,28M 34S
45,47,28M 13S
45,48,27M 49S
46,48,27M 41S
46,50,26M 46S
46,52,26M 15S
48,52,25M 57S
48,55,25M 12S
48,57,24M 34S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
50,57,23M 25S
50,59,23M 18S
50,62,22M 41S
50,64,21M 58S
50,66,21M 26S
53,66,20M 50S
55,66,20M 14S
55,68,19M 55S
56,68,19M 42S
57,68,19M 42S
59,68,18M 49S
59,70,18M 20S
59,72,17M 47S
59,73,17M 47S
59,75,17M 27S
62,75,17M 14S
62,77,16M 56S
63,77,16M 43S
64,77,16M 43S
66,77,16M 20S
69,77,15M 56S
69,78,15M 37S
69,79,15M 37S
72,79,15M 14S
74,79,14M 54S
75,79,14M 54S
75,81,14M 41S
76,81,14M 26S
77,81,14M 26S
77,83,14M 14S
78,83,13M 57S
79,83,13M 57S
79,85,13M 34S
81,85,13M 20S
83,85,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,85,11M 45S
86,85,10M 33S
87,85,10M 33S
87,87,10M 9S
87,89,9M 35S
87,92,8M 55S
90,92,8M 11S
93,92,7M 39S
93,95,7M 20S
95,95,5M 12S
97,95,4M 43S
97,97,4M 27S
97,99,3M 34S
99,99,3M 21S
99,101,2M 36S
101,101,2M 20S
101,104,2M 3S
103,104,1M 15S
103,106,59S
105,106,50S
107,106,22S
End of 4th quarter,NA,0S
