Chicago,Washington,time_rem
2-3,0-5,48M 0S
3,0,47M 47S
3,3,47M 29S
5,3,47M 3S
7,3,46M 45S
7,4,46M 30S
7,6,46M 0S
9,6,45M 48S
9,9,45M 18S
9,10,44M 42S
12,10,44M 28S
12,11,44M 12S
12,12,44M 12S
12,15,43M 51S
15,15,43M 28S
15,17,43M 16S
15,19,42M 57S
15,20,42M 57S
18,20,42M 42S
18,22,42M 24S
18,25,41M 59S
18,27,41M 25S
21,27,41M 10S
21,28,40M 52S
21,29,40M 52S
23,29,40M 31S
25,29,40M 10S
25,31,40M 1S
25,32,40M 1S
27,32,39M 49S
27,34,38M 49S
30,34,38M 25S
32,34,37M 42S
32,35,37M 42S
32,38,37M 35S
34,38,36M 58S
34,41,36M 47S
35,41,36M 29S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,41,35M 36S
39,41,35M 20S
41,41,34M 24S
41,43,34M 10S
43,43,33M 53S
43,44,33M 42S
44,44,33M 29S
46,44,32M 29S
46,46,32M 9S
49,46,31M 56S
49,48,31M 40S
49,50,30M 44S
49,52,30M 15S
49,54,29M 44S
49,55,29M 32S
49,56,29M 32S
51,56,29M 17S
53,56,28M 55S
55,56,28M 13S
56,56,28M 13S
56,58,28M 1S
56,59,28M 1S
59,59,27M 3S
59,61,26M 45S
62,61,26M 32S
65,61,26M 2S
65,63,25M 44S
66,63,25M 7S
66,64,24M 58S
66,65,24M 58S
66,67,24M 41S
66,68,24M 41S
68,68,24M 31S
71,68,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
71,70,23M 6S
71,73,22M 10S
71,76,21M 48S
73,76,21M 27S
73,78,21M 11S
75,78,21M 0S
76,78,21M 0S
76,79,20M 39S
76,80,20M 39S
78,80,20M 20S
78,82,19M 43S
79,82,19M 2S
82,82,18M 34S
84,82,18M 13S
86,82,17M 58S
87,82,17M 39S
89,82,17M 21S
89,83,16M 34S
89,84,16M 34S
92,84,16M 21S
92,85,16M 10S
92,86,16M 10S
94,86,15M 56S
94,88,15M 38S
96,88,15M 23S
96,90,15M 6S
96,91,14M 52S
96,92,14M 52S
98,92,14M 30S
98,94,13M 56S
100,94,13M 46S
102,94,13M 15S
104,94,12M 55S
105,94,12M 55S
105,97,12M 45S
107,97,12M 30S
107,100,12M 12S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
107,102,11M 1S
107,104,10M 28S
110,104,10M 11S
110,107,8M 53S
112,107,8M 2S
113,107,8M 2S
113,109,7M 46S
115,109,7M 34S
115,110,7M 25S
115,111,7M 25S
116,111,7M 16S
116,113,7M 9S
117,113,6M 40S
118,113,6M 40S
Jump ball: W. Carter vs. R. Hachimura (O. Porter gains possession),NA,6M 29S
118,116,5M 55S
118,117,5M 21S
118,120,4M 49S
118,123,4M 6S
120,123,3M 49S
121,123,3M 49S
123,123,3M 22S
123,124,2M 46S
125,124,2M 6S
125,125,1M 54S
125,126,1M 54S
127,126,1M 35S
127,128,1M 17S
128,128,1M 1S
129,128,1M 1S
130,128,14S
131,128,14S
131,129,6S
131,130,6S
132,130,5S
133,130,5S
End of 4th quarter,NA,0S
