Detroit,Charlotte,time_rem
10-27,18-18,48M 0S
3,0,47M 42S
5,0,47M 18S
5,2,47M 2S
5,4,46M 15S
8,4,45M 59S
8,7,45M 17S
10,7,44M 50S
10,9,44M 20S
12,9,44M 7S
12,10,43M 54S
12,11,43M 54S
12,13,43M 23S
12,14,42M 16S
12,15,42M 16S
12,17,41M 38S
12,19,41M 4S
12,21,40M 40S
14,21,39M 51S
14,22,39M 38S
14,23,39M 38S
14,25,38M 53S
16,25,38M 31S
16,28,38M 18S
18,28,37M 49S
18,30,37M 7S
20,30,36M 49S
22,30,36M 30S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,31,35M 15S
22,32,35M 15S
22,34,34M 12S
25,34,33M 55S
25,37,33M 38S
27,37,33M 20S
27,39,33M 1S
27,40,30M 26S
27,41,30M 26S
27,43,29M 51S
30,43,29M 13S
32,43,27M 32S
33,43,27M 32S
33,45,26M 55S
36,45,25M 49S
39,45,25M 32S
39,48,24M 51S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
39,50,23M 16S
40,50,23M 3S
41,50,23M 3S
41,53,22M 48S
43,53,22M 32S
43,55,22M 24S
43,56,22M 24S
44,56,22M 7S
47,56,21M 39S
50,56,21M 13S
50,57,21M 5S
50,58,21M 5S
52,58,20M 8S
54,58,19M 55S
55,58,19M 12S
56,58,19M 12S
56,60,18M 59S
58,60,18M 29S
58,62,18M 17S
60,62,17M 50S
60,64,17M 38S
63,64,16M 18S
65,64,15M 47S
65,65,15M 36S
65,66,15M 36S
67,66,14M 49S
67,69,14M 28S
67,71,13M 56S
69,71,13M 36S
72,71,12M 40S
72,73,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
74,73,11M 44S
74,75,11M 26S
74,78,10M 25S
76,78,9M 35S
77,78,9M 35S
79,78,9M 4S
81,78,8M 34S
81,79,8M 21S
81,80,8M 21S
84,80,8M 3S
84,82,7M 35S
84,84,7M 1S
87,84,5M 51S
87,85,4M 41S
87,86,4M 41S
87,87,4M 21S
87,88,4M 21S
90,88,3M 56S
90,90,3M 38S
93,90,3M 24S
93,93,3M 11S
93,94,3M 11S
96,94,2M 54S
96,97,2M 22S
96,99,1M 14S
96,100,1M 14S
97,100,1M 5S
98,100,1M 5S
98,103,54S
100,103,33S
100,105,9S
101,105,1S
102,105,1S
End of 4th quarter,NA,0S
