Houston,Brooklyn,time_rem
13-34,33-15,48M 0S
0,0,47M 42S
2,0,47M 27S
5,0,46M 59S
5,2,46M 51S
6,2,46M 25S
9,2,46M 4S
9,4,45M 38S
11,4,45M 19S
12,4,44M 55S
13,4,44M 55S
13,6,44M 43S
15,6,44M 34S
18,6,44M 11S
21,6,43M 48S
24,6,43M 10S
24,8,42M 59S
24,11,42M 16S
24,14,41M 49S
26,14,41M 10S
28,14,40M 43S
28,16,40M 26S
30,16,40M 15S
30,19,39M 59S
33,19,39M 25S
34,19,38M 21S
35,19,38M 21S
35,21,38M 3S
35,22,37M 33S
35,23,37M 33S
37,23,37M 18S
37,24,37M 15S
37,25,37M 15S
40,25,37M 0S
42,25,36M 44S
42,27,36M 21S
42,28,36M 0S
42,29,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
44,29,35M 46S
44,31,35M 38S
44,33,34M 49S
44,34,34M 49S
47,34,33M 40S
49,34,33M 16S
50,34,32M 47S
51,34,32M 47S
51,36,32M 24S
52,36,32M 5S
53,36,32M 5S
53,38,31M 51S
53,40,31M 13S
55,40,30M 52S
55,42,30M 23S
55,44,29M 53S
57,44,29M 19S
59,44,28M 36S
59,46,28M 26S
60,46,28M 12S
61,46,28M 12S
61,48,26M 57S
63,48,26M 45S
63,50,26M 26S
63,51,26M 3S
63,52,26M 3S
65,52,25M 7S
65,55,24M 42S
68,55,24M 32S
68,56,24M 11S
68,57,24M 11S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
69,57,23M 41S
70,57,23M 19S
71,57,23M 19S
71,60,23M 10S
73,60,22M 51S
73,62,22M 29S
73,63,22M 4S
73,64,22M 4S
75,64,21M 31S
75,67,21M 9S
75,69,19M 11S
78,69,18M 58S
80,69,18M 23S
82,69,17M 9S
82,71,16M 56S
82,73,16M 23S
82,74,15M 55S
82,75,15M 55S
82,77,15M 20S
82,78,15M 20S
82,81,15M 2S
83,81,13M 48S
84,81,13M 48S
84,83,13M 31S
85,83,13M 13S
85,86,12M 29S
87,86,12M 10S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,86,11M 23S
91,86,10M 50S
91,88,10M 35S
91,89,10M 35S
93,89,9M 40S
96,89,9M 4S
96,91,8M 48S
96,93,8M 18S
99,93,7M 54S
99,95,7M 38S
101,95,7M 28S
101,97,6M 36S
Jump ball: N. Claxton vs. C. Wood (B. Griffin gains possession),NA,6M 21S
101,99,6M 7S
101,102,5M 38S
101,105,4M 36S
101,107,3M 55S
Jump ball: C. Wood vs. N. Claxton (K. Porter gains possession),NA,3M 19S
103,107,3M 14S
103,109,3M 3S
103,110,2M 25S
103,111,2M 25S
103,114,1M 34S
103,117,1M 1S
105,117,56S
105,120,47S
108,120,4S
End of 4th quarter,NA,0S
