Portland,Atlanta,time_rem
36-29,36-30,48M 0S
0,0,47M 42S
0,2,47M 8S
3,2,45M 38S
6,2,45M 13S
6,5,44M 54S
8,5,44M 32S
8,8,44M 21S
10,8,44M 4S
12,8,43M 34S
12,9,43M 16S
12,10,43M 16S
14,10,43M 2S
14,13,42M 44S
14,15,42M 26S
17,15,42M 20S
17,17,41M 55S
17,19,41M 28S
17,22,41M 2S
19,22,40M 40S
19,23,40M 25S
22,23,40M 6S
24,23,39M 48S
24,26,39M 30S
24,28,39M 2S
27,28,38M 15S
29,28,37M 41S
29,30,37M 31S
31,30,36M 6S
31,32,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,32,35M 47S
36,32,35M 9S
37,32,35M 9S
37,33,34M 54S
37,35,34M 33S
37,37,34M 2S
37,39,33M 39S
38,39,33M 16S
39,39,33M 16S
39,40,31M 46S
39,41,31M 46S
41,41,31M 35S
41,44,31M 20S
44,44,31M 4S
44,47,30M 42S
46,47,30M 16S
46,50,30M 2S
46,51,29M 22S
46,52,29M 22S
48,52,28M 34S
48,54,28M 15S
51,54,27M 57S
51,56,27M 15S
54,56,27M 1S
54,58,26M 46S
56,58,26M 0S
57,58,26M 0S
57,61,25M 52S
57,63,24M 43S
58,63,24M 32S
59,63,24M 32S
59,64,24M 29S
59,65,24M 29S
62,65,24M 8S
62,68,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,70,23M 26S
62,73,22M 45S
65,73,22M 32S
65,75,22M 16S
67,75,22M 7S
67,78,21M 50S
69,78,21M 13S
69,79,20M 33S
69,80,20M 33S
71,80,20M 19S
71,83,19M 56S
72,83,19M 17S
73,83,19M 17S
76,83,18M 50S
79,83,18M 21S
81,83,17M 37S
81,85,17M 19S
84,85,16M 57S
84,88,16M 44S
87,88,16M 31S
87,91,16M 13S
90,91,16M 0S
90,92,15M 40S
90,94,15M 13S
90,97,14M 4S
92,97,13M 45S
92,100,13M 8S
92,101,12M 47S
92,102,12M 47S
95,102,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
95,104,11M 48S
95,106,11M 12S
95,108,10M 43S
97,108,10M 17S
97,111,10M 1S
99,111,9M 12S
99,113,8M 36S
99,116,8M 8S
101,116,7M 51S
101,119,6M 12S
101,121,5M 13S
102,121,4M 59S
103,121,4M 59S
105,121,4M 1S
106,121,3M 12S
108,121,2M 45S
110,121,2M 23S
112,121,1M 12S
112,123,54S
114,123,1S
End of 4th quarter,NA,0S
