Orlando,Washington,time_rem
3-0,0-3,48M 0S
0,2,47M 44S
0,4,47M 3S
1,4,46M 51S
2,4,46M 51S
2,7,46M 33S
4,7,46M 19S
4,9,46M 9S
4,11,45M 16S
4,12,44M 46S
4,13,44M 46S
4,16,44M 24S
6,16,44M 11S
8,16,43M 38S
8,18,42M 53S
10,18,41M 21S
10,21,40M 40S
13,21,40M 29S
13,24,40M 18S
16,24,39M 36S
16,26,39M 25S
16,27,39M 25S
18,27,39M 12S
21,27,38M 57S
21,29,38M 34S
21,31,38M 4S
23,31,37M 49S
23,33,37M 33S
24,33,37M 6S
25,33,37M 6S
26,33,37M 6S
29,33,36M 13S
29,35,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,35,34M 43S
32,35,33M 54S
33,35,33M 54S
33,37,33M 38S
34,37,33M 25S
35,37,33M 25S
35,40,33M 18S
35,42,32M 53S
38,42,32M 32S
38,44,32M 21S
40,44,31M 55S
41,44,31M 8S
42,44,31M 8S
43,44,30M 45S
44,44,30M 45S
45,44,30M 45S
45,46,30M 2S
47,46,29M 50S
47,48,29M 30S
48,48,29M 16S
49,48,29M 16S
Jump ball: A. Gordon vs. D. Bertāns (M. Fultz gains possession),NA,28M 55S
50,48,28M 49S
51,48,28M 49S
51,50,28M 36S
54,50,28M 23S
54,52,28M 2S
56,52,27M 45S
56,54,27M 22S
Jump ball: T. Bryant vs. N. Vučević (R. Neto gains possession),NA,26M 51S
58,54,26M 20S
58,56,26M 2S
58,58,25M 40S
59,58,24M 59S
60,58,24M 59S
60,60,24M 47S
62,60,24M 27S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,60,23M 43S
64,63,23M 24S
64,65,22M 54S
64,67,22M 18S
66,67,21M 42S
66,69,21M 27S
66,71,20M 58S
68,71,20M 42S
68,74,19M 48S
68,75,19M 17S
68,76,19M 17S
68,78,18M 15S
69,78,17M 57S
69,80,17M 51S
70,80,17M 37S
71,80,17M 37S
71,82,17M 18S
73,82,16M 52S
73,84,16M 28S
73,86,16M 12S
74,86,15M 55S
75,86,15M 55S
75,87,15M 30S
75,88,15M 30S
77,88,15M 18S
77,89,15M 6S
77,90,15M 6S
77,92,14M 2S
77,94,13M 28S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,94,11M 23S
79,94,11M 23S
81,94,10M 55S
83,94,10M 27S
85,94,9M 59S
87,94,9M 2S
87,96,8M 49S
89,96,8M 30S
90,96,7M 33S
91,96,7M 33S
91,99,7M 14S
93,99,7M 1S
96,99,6M 37S
96,101,5M 45S
99,101,5M 22S
99,102,5M 0S
99,103,5M 0S
99,105,4M 32S
101,105,4M 20S
104,105,3M 55S
104,107,3M 31S
106,107,3M 22S
107,107,2M 57S
108,107,2M 57S
110,107,2M 29S
110,109,2M 2S
110,111,1M 45S
110,113,59S
112,113,55S
114,113,25S
115,113,16S
116,113,16S
117,113,6S
118,113,6S
119,113,5S
120,113,5S
End of 4th quarter,NA,0S
