Boston,Phoenix,time_rem
12-10,13-9,48M 0S
0,2,47M 47S
3,2,47M 30S
3,4,47M 10S
3,6,46M 29S
3,8,46M 0S
3,9,45M 20S
3,10,45M 20S
5,10,43M 51S
7,10,43M 23S
7,12,43M 9S
7,15,42M 32S
9,15,42M 10S
10,15,42M 10S
10,17,41M 53S
10,20,40M 49S
10,23,40M 12S
13,23,39M 12S
13,25,38M 57S
16,25,38M 31S
19,25,37M 20S
19,27,36M 58S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
19,30,35M 29S
20,30,34M 52S
23,30,34M 27S
26,30,33M 20S
26,32,33M 0S
26,34,32M 31S
29,34,32M 11S
31,34,31M 35S
31,36,31M 19S
31,37,30M 53S
31,38,30M 53S
31,40,30M 21S
34,40,30M 2S
37,40,27M 52S
37,42,27M 39S
39,42,27M 20S
41,42,26M 24S
42,42,26M 24S
42,44,26M 10S
44,44,25M 54S
44,47,25M 47S
46,47,25M 24S
46,49,25M 7S
49,49,24M 45S
49,52,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
51,52,23M 48S
51,55,22M 22S
53,55,21M 57S
53,57,21M 34S
53,59,21M 0S
53,61,20M 29S
55,61,20M 6S
55,63,19M 21S
55,64,19M 21S
55,65,19M 21S
56,65,19M 12S
57,65,19M 12S
57,67,18M 59S
57,69,18M 24S
57,71,17M 53S
57,72,17M 9S
59,72,16M 1S
59,74,15M 4S
Jump ball: S. Ojeleye vs. E. Moore (D. Theis gains possession),NA,14M 46S
59,76,14M 9S
62,76,13M 46S
64,76,13M 5S
67,76,12M 38S
68,76,12M 24S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
68,78,11M 16S
71,78,10M 50S
71,80,9M 7S
71,82,8M 28S
73,82,8M 4S
75,82,6M 50S
77,82,6M 12S
77,84,5M 39S
77,86,5M 6S
80,86,4M 51S
80,88,3M 59S
80,89,3M 59S
83,89,3M 15S
83,91,2M 53S
86,91,2M 29S
86,94,2M 0S
87,94,1M 37S
88,94,1M 37S
91,94,1M 4S
91,96,43S
91,97,36S
91,98,36S
91,99,30S
91,100,30S
End of 4th quarter,NA,0S
