Portland,New Orleans,time_rem
18-10,12-16,48M 0S
0,2,47M 46S
2,2,47M 0S
4,2,46M 41S
4,4,46M 22S
6,4,45M 16S
7,4,44M 30S
8,4,44M 30S
8,7,44M 19S
10,7,44M 4S
10,8,43M 53S
10,9,43M 53S
Jump ball: S. Adams vs. D. Jones (Z. Williamson gains possession),NA,43M 34S
10,11,43M 26S
13,11,42M 49S
13,13,42M 35S
16,13,42M 19S
16,15,41M 59S
18,15,41M 27S
18,17,41M 16S
21,17,41M 4S
23,17,40M 40S
25,17,40M 16S
25,19,40M 0S
28,19,39M 37S
30,19,39M 12S
30,22,38M 54S
31,22,38M 13S
32,22,38M 13S
32,25,38M 2S
34,25,37M 44S
35,25,37M 44S
35,28,37M 24S
35,30,36M 55S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,30,35M 45S
37,33,35M 34S
39,33,34M 59S
39,35,34M 40S
39,37,34M 7S
39,38,34M 7S
41,38,33M 25S
41,39,32M 6S
41,40,32M 6S
43,40,31M 51S
43,42,31M 5S
43,44,30M 43S
43,45,30M 17S
44,45,30M 4S
44,47,29M 44S
44,50,29M 21S
45,50,29M 4S
45,53,28M 39S
47,53,28M 26S
47,55,28M 13S
47,56,28M 13S
49,56,27M 39S
49,59,27M 26S
49,61,26M 34S
49,64,26M 5S
50,64,25M 46S
51,64,25M 46S
52,64,25M 46S
54,64,25M 12S
56,64,24M 48S
56,66,24M 37S
59,66,24M 29S
59,69,24M 7S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,69,23M 47S
64,69,23M 16S
64,70,22M 33S
64,71,22M 33S
66,71,22M 20S
66,73,21M 26S
69,73,21M 9S
70,73,21M 9S
72,73,20M 51S
72,75,19M 58S
72,77,19M 38S
74,77,19M 3S
74,79,18M 53S
76,79,18M 34S
76,82,18M 19S
79,82,18M 4S
79,84,17M 44S
82,84,17M 24S
85,84,16M 51S
85,85,16M 31S
85,86,16M 31S
86,86,15M 37S
87,86,15M 37S
87,87,15M 5S
87,88,15M 5S
87,90,14M 11S
89,90,13M 36S
90,90,12M 31S
91,90,12M 31S
91,91,12M 19S
94,91,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,93,11M 40S
97,93,11M 24S
97,94,11M 11S
97,95,11M 11S
100,95,10M 56S
100,98,10M 39S
103,98,9M 33S
103,100,9M 13S
103,102,8M 13S
103,105,7M 37S
106,105,7M 23S
109,105,6M 29S
109,107,5M 36S
109,108,5M 36S
111,108,4M 42S
111,110,3M 41S
113,110,3M 19S
113,111,2M 56S
113,112,2M 56S
116,112,2M 44S
116,114,2M 25S
116,117,2M 5S
119,117,1M 46S
119,120,1M 32S
119,121,1M 17S
119,122,1M 17S
121,122,1M 4S
123,122,28S
123,123,26S
123,124,26S
125,124,16S
126,124,16S
End of 4th quarter,NA,0S
