Utah,Phoenix,time_rem
45-18,45-18,48M 0S
2,0,47M 47S
2,2,47M 28S
2,5,46M 50S
4,5,46M 33S
4,7,46M 21S
4,9,46M 3S
4,12,45M 40S
6,12,44M 52S
9,12,44M 16S
9,14,43M 32S
9,15,43M 32S
12,15,43M 19S
12,17,43M 8S
13,17,42M 22S
14,17,42M 22S
14,19,42M 10S
16,19,41M 55S
16,21,41M 23S
16,23,40M 50S
16,25,40M 9S
16,27,39M 48S
19,27,39M 35S
19,28,39M 17S
19,29,39M 17S
21,29,39M 3S
21,31,38M 49S
21,33,38M 20S
21,35,37M 42S
23,35,37M 19S
23,37,37M 6S
23,39,36M 36S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,39,35M 30S
25,41,35M 9S
25,42,34M 48S
25,45,34M 12S
25,46,33M 38S
25,47,33M 38S
25,50,33M 11S
28,50,32M 56S
28,51,32M 39S
28,53,32M 7S
31,53,32M 1S
34,53,31M 33S
34,55,31M 4S
34,58,30M 37S
36,58,30M 20S
38,58,29M 27S
41,58,28M 58S
41,60,28M 38S
43,60,28M 11S
43,62,27M 52S
46,62,27M 5S
46,63,26M 29S
46,64,26M 29S
47,64,26M 13S
48,64,26M 13S
48,66,26M 1S
48,67,25M 24S
48,68,25M 24S
50,68,25M 16S
51,68,24M 27S
52,68,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,70,23M 38S
54,70,23M 8S
55,70,23M 8S
57,70,22M 46S
57,73,21M 33S
59,73,21M 15S
59,75,21M 1S
59,77,20M 30S
61,77,19M 53S
61,79,19M 24S
61,81,18M 18S
61,83,17M 50S
63,83,16M 50S
63,85,16M 12S
63,86,16M 12S
64,86,15M 57S
65,86,15M 57S
65,88,15M 36S
65,91,14M 49S
67,91,14M 32S
68,91,14M 32S
68,94,13M 21S
69,94,12M 55S
70,94,12M 55S
70,96,12M 33S
72,96,12M 15S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,96,11M 10S
75,99,10M 53S
76,99,9M 59S
77,99,9M 59S
78,99,8M 48S
79,99,8M 48S
79,101,8M 34S
79,104,7M 13S
82,104,6M 54S
82,105,5M 48S
82,106,5M 48S
85,106,5M 34S
85,108,5M 12S
87,108,4M 58S
87,110,4M 42S
89,110,4M 22S
89,112,3M 57S
89,114,2M 48S
92,114,2M 9S
92,117,1M 50S
95,117,1M 40S
98,117,1M 24S
98,119,48S
100,119,38S
100,121,16S
End of 4th quarter,NA,0S
