Orlando,Oklahoma City,time_rem
4-0,1-2,48M 0S
0,0,47M 48S
3,0,47M 8S
5,0,46M 45S
5,2,46M 33S
7,2,46M 15S
7,5,46M 3S
9,5,44M 59S
9,7,44M 51S
11,7,44M 38S
11,10,44M 20S
11,12,43M 37S
13,12,43M 24S
13,14,43M 0S
15,14,42M 36S
15,16,42M 20S
17,16,41M 49S
17,17,41M 41S
17,18,41M 41S
19,18,41M 18S
19,20,41M 8S
21,20,40M 50S
21,22,40M 37S
24,22,40M 26S
27,22,39M 43S
29,22,39M 18S
31,22,38M 31S
31,25,38M 19S
32,25,37M 48S
34,25,36M 47S
34,27,36M 27S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,27,35M 47S
36,29,35M 24S
36,31,33M 41S
37,31,33M 24S
38,31,33M 24S
38,33,33M 11S
38,34,33M 11S
38,37,32M 45S
38,39,32M 20S
40,39,31M 57S
42,39,30M 32S
43,39,30M 20S
44,39,30M 20S
44,41,30M 8S
44,43,29M 39S
47,43,29M 19S
49,43,28M 50S
51,43,28M 13S
53,43,27M 19S
53,46,27M 6S
56,46,26M 52S
56,48,26M 23S
56,50,25M 59S
57,50,25M 15S
58,50,25M 15S
58,51,25M 10S
58,52,25M 10S
60,52,24M 59S
60,54,24M 38S
60,56,24M 22S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,56,22M 42S
62,58,22M 4S
64,58,21M 50S
65,58,21M 50S
65,61,21M 34S
67,61,21M 15S
67,63,21M 8S
67,64,21M 8S
69,64,20M 25S
69,67,20M 12S
72,67,19M 35S
74,67,18M 58S
74,69,18M 27S
74,71,17M 55S
76,71,17M 43S
78,71,17M 19S
78,73,16M 10S
78,75,15M 13S
78,77,14M 50S
80,77,14M 33S
80,80,14M 19S
82,80,14M 0S
83,80,13M 8S
84,80,13M 8S
84,82,12M 47S
86,82,12M 40S
87,82,12M 40S
87,85,12M 32S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
87,87,11M 47S
89,87,11M 21S
91,87,10M 46S
93,87,10M 17S
93,90,9M 49S
93,91,9M 49S
95,91,9M 28S
97,91,8M 49S
99,91,8M 10S
99,92,7M 47S
101,92,7M 32S
101,95,6M 39S
103,95,6M 27S
103,97,6M 16S
103,99,5M 48S
105,99,5M 25S
105,100,5M 11S
108,100,4M 55S
108,102,4M 41S
110,102,4M 25S
112,102,3M 39S
112,104,3M 21S
114,104,3M 4S
114,106,1M 59S
115,106,29S
116,106,29S
116,107,22S
118,107,16S
End of 4th quarter,NA,0S
