Chicago,Phoenix,time_rem
19-27,33-14,48M 0S
0,2,47M 53S
1,2,47M 33S
2,2,47M 33S
4,2,47M 5S
4,4,46M 54S
6,4,46M 5S
6,6,45M 48S
8,6,45M 33S
10,6,45M 7S
12,6,44M 31S
13,6,44M 31S
13,8,44M 2S
13,11,43M 49S
15,11,43M 8S
17,11,42M 28S
17,14,42M 21S
20,14,42M 7S
20,17,41M 52S
22,17,41M 36S
22,19,41M 18S
25,19,41M 0S
25,21,40M 47S
26,21,40M 24S
26,24,40M 10S
26,25,40M 10S
26,27,40M 2S
26,30,39M 33S
28,30,39M 11S
28,32,38M 58S
30,32,38M 31S
30,34,38M 16S
31,34,37M 53S
32,34,37M 53S
32,37,37M 12S
34,37,36M 19S
34,39,36M 3S
37,39,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
40,39,35M 43S
40,42,35M 19S
42,42,34M 50S
42,45,33M 43S
42,48,32M 33S
45,48,31M 34S
45,50,31M 16S
45,52,30M 38S
47,52,29M 51S
49,52,29M 12S
49,54,28M 25S
49,56,28M 11S
52,56,28M 0S
52,58,27M 28S
54,58,26M 49S
54,60,26M 36S
Jump ball: L. Markkanen vs. J. Crowder (T. Young gains possession),NA,25M 51S
56,60,25M 44S
56,62,25M 27S
56,65,25M 4S
57,65,24M 27S
58,65,24M 27S
58,67,24M 5S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,67,23M 47S
60,69,23M 21S
63,69,23M 6S
63,71,22M 51S
63,73,22M 13S
65,73,21M 33S
65,75,21M 14S
65,76,20M 52S
65,77,20M 52S
65,79,20M 20S
Jump ball: N. Vučević vs. D. Ayton (T. Satoranský gains possession),NA,19M 57S
65,81,19M 40S
67,81,19M 28S
69,81,18M 37S
69,83,18M 18S
71,83,17M 37S
73,83,17M 4S
75,83,16M 20S
75,85,16M 5S
76,85,15M 4S
77,85,15M 4S
80,85,14M 40S
80,87,13M 53S
81,87,13M 42S
82,87,13M 42S
82,89,13M 30S
84,89,13M 4S
84,91,12M 50S
86,91,12M 33S
86,94,12M 24S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,94,11M 15S
88,96,10M 38S
88,97,10M 38S
91,97,10M 15S
91,99,10M 2S
93,99,9M 8S
96,99,8M 11S
96,101,7M 50S
97,101,7M 4S
98,101,7M 4S
98,102,6M 14S
98,103,5M 57S
98,104,5M 57S
98,105,5M 57S
101,105,5M 20S
101,107,5M 4S
101,109,4M 45S
103,109,4M 26S
104,109,4M 8S
105,109,4M 8S
105,110,3M 51S
105,111,3M 51S
105,112,3M 51S
107,112,3M 36S
107,113,3M 20S
108,113,3M 7S
109,113,3M 7S
110,113,1M 57S
110,114,1M 47S
110,115,1M 47S
112,115,52S
112,117,34S
112,118,27S
112,119,27S
114,119,12S
114,120,10S
114,121,10S
116,121,1S
End of 4th quarter,NA,0S
