Dallas,Phoenix,time_rem
0-1,1-0,48M 0S
0,0,47M 49S
0,1,47M 49S
0,2,47M 49S
0,5,47M 9S
0,7,46M 1S
2,7,45M 32S
2,8,45M 25S
2,9,45M 25S
5,9,45M 13S
5,12,44M 46S
7,12,43M 53S
8,12,43M 3S
9,12,43M 3S
10,12,41M 13S
10,14,40M 47S
10,17,39M 58S
12,17,39M 19S
13,17,39M 19S
13,19,39M 6S
13,21,38M 38S
15,21,38M 3S
15,23,37M 44S
17,23,37M 32S
18,23,36M 59S
19,23,36M 59S
22,23,36M 16S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,23,34M 25S
24,23,34M 25S
24,25,33M 46S
27,25,33M 21S
27,26,33M 8S
27,29,32M 44S
27,31,32M 27S
29,31,32M 9S
29,33,31M 50S
32,33,30M 17S
32,35,29M 45S
32,37,29M 5S
35,37,28M 32S
35,39,28M 11S
37,39,27M 48S
37,42,27M 17S
37,43,26M 48S
37,44,26M 48S
39,44,26M 33S
41,44,26M 11S
41,46,25M 57S
42,46,25M 50S
42,48,25M 35S
43,48,25M 9S
43,51,24M 57S
43,53,24M 42S
45,53,24M 27S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
45,55,22M 49S
48,55,22M 28S
51,55,22M 5S
51,57,21M 33S
53,57,21M 17S
53,60,20M 59S
55,60,20M 43S
55,61,19M 36S
58,61,19M 21S
60,61,18M 29S
61,61,17M 53S
62,61,17M 53S
62,63,17M 29S
62,65,16M 30S
63,65,16M 12S
64,65,16M 12S
64,66,15M 55S
64,67,15M 55S
65,67,15M 28S
65,69,15M 4S
67,69,14M 46S
67,71,14M 24S
68,71,13M 10S
69,71,13M 10S
69,74,12M 51S
71,74,12M 36S
71,77,12M 30S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
71,80,11M 21S
71,81,11M 21S
71,83,10M 59S
73,83,10M 47S
75,83,10M 21S
75,85,10M 3S
78,85,9M 49S
78,87,8M 50S
80,87,8M 38S
82,87,8M 7S
82,88,7M 57S
82,89,7M 57S
84,89,7M 39S
84,91,7M 27S
86,91,7M 11S
87,91,6M 48S
88,91,6M 48S
90,91,5M 29S
90,94,5M 1S
92,94,4M 32S
92,96,4M 15S
94,96,3M 59S
96,96,3M 38S
96,97,3M 22S
96,98,3M 22S
96,99,3M 1S
96,100,3M 1S
98,100,2M 45S
99,100,1M 56S
100,100,1M 56S
100,101,1M 44S
100,103,1M 20S
100,105,40S
102,105,35S
102,106,7S
End of 4th quarter,NA,0S
