Golden State,Toronto,time_rem
23-26,19-30,48M 0S
0,0,47M 41S
3,0,47M 5S
3,2,46M 56S
3,3,46M 25S
3,4,46M 25S
5,4,46M 11S
5,7,45M 52S
8,7,45M 40S
8,9,45M 18S
8,11,44M 46S
11,11,44M 37S
11,13,44M 22S
12,13,44M 13S
13,13,44M 13S
13,15,43M 25S
15,15,43M 10S
15,17,42M 58S
15,19,42M 3S
17,19,41M 11S
17,21,40M 25S
17,22,39M 48S
19,22,38M 56S
19,24,38M 14S
21,24,37M 52S
21,27,37M 4S
23,27,36M 46S
26,27,36M 12S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,27,35M 17S
29,30,35M 5S
29,32,34M 42S
30,32,34M 26S
30,34,34M 6S
30,35,33M 41S
30,38,32M 59S
30,40,32M 21S
30,43,31M 55S
30,45,31M 1S
30,47,30M 28S
31,47,30M 9S
32,47,30M 9S
32,50,29M 21S
32,51,28M 42S
32,52,28M 42S
32,54,27M 59S
35,54,27M 40S
37,54,27M 9S
37,55,25M 39S
37,56,25M 39S
40,56,25M 27S
40,57,25M 9S
40,58,25M 9S
40,60,24M 34S
42,60,24M 13S
42,62,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
42,64,23M 48S
42,67,23M 19S
42,68,22M 50S
42,69,22M 50S
42,70,22M 50S
44,70,22M 34S
45,70,22M 34S
45,71,21M 59S
45,72,21M 59S
45,75,21M 37S
45,78,21M 13S
45,81,20M 50S
47,81,19M 56S
47,84,19M 17S
47,86,18M 47S
47,87,18M 34S
47,88,18M 34S
47,91,18M 25S
49,91,18M 8S
49,94,17M 46S
49,96,16M 52S
49,99,16M 22S
49,101,15M 30S
51,101,15M 17S
52,101,15M 17S
52,103,14M 57S
52,105,14M 16S
52,106,13M 52S
52,107,13M 52S
54,107,13M 28S
55,107,13M 28S
55,108,13M 10S
Jump ball: A. Baynes vs. A. Smailagić (M. Flynn gains possession),NA,13M 4S
56,108,12M 12S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
56,110,11M 36S
59,110,11M 8S
59,112,10M 26S
59,114,10M 2S
59,117,9M 2S
59,119,8M 44S
60,119,7M 20S
60,121,6M 29S
63,121,6M 4S
63,123,5M 38S
65,123,5M 25S
66,123,5M 25S
66,125,5M 5S
66,126,4M 30S
69,126,4M 14S
69,128,3M 57S
70,128,3M 29S
73,128,2M 44S
74,128,1M 58S
75,128,1M 58S
77,128,1M 16S
77,130,48S
End of 4th quarter,NA,0S
