LA Clippers,Memphis,time_rem
24-11,14-15,48M 0S
0,0,47M 36S
3,0,47M 22S
3,3,47M 11S
5,3,46M 46S
7,3,46M 13S
7,4,45M 58S
7,5,45M 58S
7,7,45M 35S
7,9,45M 7S
7,11,44M 30S
9,11,43M 45S
11,11,43M 6S
11,13,42M 7S
11,14,42M 7S
13,14,41M 56S
13,17,41M 30S
14,17,41M 13S
15,17,41M 13S
17,17,40M 49S
19,17,40M 28S
20,17,40M 28S
22,17,39M 53S
22,19,39M 29S
24,19,39M 15S
27,19,37M 57S
27,22,37M 42S
27,24,37M 3S
30,24,36M 47S
30,27,36M 36S
30,29,36M 9S
30,30,36M 9S
32,30,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,30,35M 40S
36,30,35M 16S
36,33,34M 58S
38,33,34M 48S
40,33,34M 26S
40,35,33M 44S
42,35,33M 2S
42,37,32M 30S
43,37,32M 15S
44,37,32M 15S
44,38,31M 50S
46,38,30M 3S
46,40,29M 42S
46,42,28M 34S
48,42,28M 15S
48,44,28M 1S
49,44,27M 1S
50,44,27M 1S
50,46,26M 45S
51,46,26M 35S
52,46,26M 35S
55,46,26M 10S
58,46,25M 30S
58,47,25M 22S
61,47,25M 12S
63,47,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,47,23M 42S
66,49,23M 31S
66,52,23M 5S
66,54,21M 33S
66,56,21M 9S
68,56,20M 48S
71,56,20M 18S
71,58,19M 26S
73,58,19M 3S
73,59,18M 47S
73,60,18M 47S
73,62,17M 58S
76,62,17M 46S
76,64,16M 57S
78,64,16M 34S
79,64,15M 50S
80,64,15M 50S
83,64,15M 19S
83,66,15M 4S
85,66,13M 43S
85,68,13M 32S
87,68,13M 14S
87,70,13M 1S
90,70,12M 14S
90,72,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,74,11M 42S
90,75,11M 42S
90,76,11M 9S
91,76,10M 35S
94,76,9M 54S
96,76,9M 33S
96,79,9M 12S
98,79,8M 56S
98,81,8M 42S
100,81,8M 28S
Jump ball: I. Zubac vs. J. Valančiūnas (M. Morris gains possession),NA,7M 39S
100,83,6M 31S
100,85,5M 57S
100,87,5M 39S
101,87,5M 22S
102,87,5M 22S
103,87,5M 22S
103,89,5M 7S
103,90,4M 44S
103,91,4M 44S
Jump ball: L. Williams vs. D. Melton (P. George gains possession),NA,4M 38S
105,91,4M 17S
105,93,3M 52S
107,93,3M 29S
107,96,2M 53S
110,96,2M 18S
111,96,2M 18S
112,96,2M 18S
112,99,2M 2S
114,99,1M 39S
117,99,1M 3S
119,99,37S
End of 4th quarter,NA,0S
