Detroit,New York,time_rem
10-26,19-18,48M 0S
0,0,47M 33S
0,2,46M 53S
2,2,46M 34S
2,4,46M 16S
2,6,45M 41S
3,6,45M 24S
3,8,45M 1S
5,8,44M 10S
5,10,43M 58S
8,10,43M 48S
8,11,43M 20S
8,12,43M 20S
8,14,42M 43S
8,16,42M 10S
10,16,41M 53S
10,17,41M 31S
13,17,41M 17S
13,18,41M 1S
13,19,41M 1S
16,19,40M 44S
16,22,40M 20S
19,22,40M 6S
21,22,39M 44S
21,24,39M 22S
23,24,39M 3S
23,26,38M 36S
25,26,38M 19S
25,28,38M 4S
25,31,37M 24S
25,33,36M 56S
27,33,36M 47S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,36,35M 46S
30,36,35M 17S
30,39,34M 54S
32,39,34M 1S
34,39,33M 3S
34,41,31M 38S
36,41,30M 47S
36,43,30M 22S
38,43,29M 54S
40,43,29M 5S
40,46,28M 47S
42,46,28M 30S
42,47,28M 10S
42,48,28M 10S
44,48,27M 52S
44,50,27M 16S
44,52,26M 35S
44,54,26M 3S
44,56,25M 30S
44,57,24M 57S
44,59,24M 33S
46,59,24M 9S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
46,62,23M 47S
49,62,23M 23S
49,64,23M 3S
52,64,22M 47S
52,66,20M 57S
53,66,20M 36S
54,66,20M 36S
54,68,20M 27S
56,68,20M 9S
59,68,19M 45S
59,70,19M 7S
61,70,18M 48S
61,72,18M 27S
61,74,18M 1S
61,77,17M 33S
63,77,17M 17S
66,77,16M 59S
66,78,16M 36S
66,80,16M 26S
66,82,15M 55S
67,82,15M 29S
67,85,15M 14S
67,87,14M 49S
70,87,14M 33S
70,89,14M 19S
72,89,14M 4S
72,91,13M 5S
73,91,12M 52S
74,91,12M 52S
74,93,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,93,10M 39S
79,93,9M 27S
79,95,8M 36S
82,95,8M 18S
82,96,7M 51S
83,96,7M 28S
84,96,7M 28S
84,98,7M 9S
87,98,6M 50S
87,100,6M 33S
90,100,5M 59S
90,101,5M 28S
91,101,5M 28S
91,103,4M 22S
93,103,4M 4S
93,105,3M 39S
95,105,3M 15S
96,105,3M 15S
96,108,2M 58S
98,108,2M 36S
98,110,2M 12S
100,110,45S
101,110,45S
101,111,41S
101,112,41S
102,112,37S
104,112,14S
104,113,3S
104,114,3S
End of 4th quarter,NA,0S
