New Orleans,Oklahoma City,time_rem
28-35,21-42,48M 0S
0,0,47M 46S
1,0,47M 46S
2,0,47M 46S
2,3,46M 46S
4,3,46M 28S
6,3,45M 59S
6,5,45M 0S
8,5,44M 19S
8,7,44M 2S
10,7,43M 45S
10,9,42M 57S
10,12,42M 31S
10,14,42M 9S
11,14,41M 56S
11,15,41M 41S
13,15,41M 29S
15,15,40M 38S
17,15,40M 17S
17,17,39M 55S
18,17,39M 16S
19,17,39M 16S
22,17,38M 54S
22,18,38M 37S
24,18,38M 21S
26,18,37M 55S
26,20,37M 37S
29,20,37M 25S
31,20,36M 19S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,23,35M 40S
33,23,35M 22S
33,26,35M 10S
33,28,34M 36S
33,31,33M 42S
35,31,33M 20S
35,33,32M 53S
37,33,32M 40S
37,36,32M 23S
37,38,31M 56S
39,38,31M 17S
40,38,30M 32S
41,38,30M 32S
41,39,30M 22S
41,40,30M 22S
43,40,29M 47S
43,41,29M 9S
45,41,28M 59S
47,41,27M 35S
49,41,27M 9S
51,41,26M 40S
53,41,26M 19S
54,41,26M 19S
56,41,25M 50S
56,43,25M 35S
57,43,24M 51S
58,43,24M 51S
Jump ball: W. Hernangómez vs. I. Roby (Z. Williamson gains possession),NA,24M 28S
60,43,24M 24S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,45,23M 20S
60,47,22M 47S
60,48,22M 47S
62,48,22M 30S
63,48,22M 9S
65,48,20M 50S
65,50,19M 29S
67,50,19M 16S
67,52,18M 19S
67,55,17M 40S
69,55,17M 26S
70,55,16M 16S
71,55,16M 16S
71,57,15M 35S
71,58,15M 35S
73,58,15M 22S
73,60,15M 10S
73,61,15M 10S
75,61,14M 34S
75,62,14M 14S
78,62,14M 3S
78,64,13M 41S
78,66,13M 37S
79,66,12M 54S
79,67,12M 0S
79,68,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,68,11M 41S
81,70,11M 25S
81,71,11M 25S
84,71,10M 48S
84,73,10M 12S
86,73,9M 45S
88,73,9M 15S
90,73,8M 41S
90,76,8M 31S
92,76,7M 46S
94,76,7M 32S
96,76,6M 41S
96,77,6M 21S
96,78,6M 21S
98,78,6M 6S
98,81,5M 23S
98,83,4M 54S
100,83,4M 29S
100,85,4M 13S
102,85,3M 50S
102,88,3M 40S
102,90,2M 45S
104,90,1M 30S
106,90,1M 8S
106,93,1M 0S
109,93,40S
109,94,33S
109,95,33S
End of 4th quarter,NA,0S
