LA Lakers,New Orleans,time_rem
28-16,19-24,48M 0S
0,0,47M 44S
3,0,47M 38S
3,2,47M 24S
5,2,47M 7S
5,4,46M 50S
5,6,46M 31S
5,8,46M 4S
7,8,45M 41S
8,8,45M 41S
8,10,45M 27S
11,10,45M 14S
11,11,44M 50S
11,14,44M 23S
11,16,43M 56S
13,16,43M 46S
13,18,43M 35S
14,18,42M 46S
15,18,42M 46S
15,20,42M 6S
16,20,41M 17S
17,20,41M 17S
18,20,40M 34S
19,20,40M 34S
22,20,40M 0S
22,22,39M 37S
25,22,39M 13S
25,24,38M 54S
27,24,38M 37S
28,24,37M 55S
29,24,37M 55S
29,26,37M 37S
29,28,37M 10S
29,29,37M 1S
29,30,37M 1S
29,32,36M 33S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,35,34M 4S
31,35,33M 42S
31,36,33M 30S
31,37,33M 30S
31,39,33M 9S
31,40,32M 18S
31,41,32M 18S
33,41,31M 39S
Jump ball: A. Caruso vs. N. Alexander,Walker (T. Horton,31M 23S
33,43,30M 51S
33,45,30M 0S
33,47,29M 30S
33,50,28M 44S
36,50,28M 17S
37,50,27M 49S
37,51,27M 15S
37,53,26M 45S
40,53,25M 58S
40,54,25M 47S
40,55,25M 47S
43,55,25M 22S
43,57,25M 2S
43,59,24M 43S
46,59,24M 22S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,59,23M 46S
48,61,23M 32S
49,61,23M 21S
50,61,23M 21S
50,63,23M 1S
50,65,22M 29S
52,65,22M 17S
52,68,22M 8S
52,70,21M 33S
55,70,21M 20S
55,72,21M 4S
58,72,20M 47S
58,73,19M 53S
58,74,19M 53S
58,75,19M 30S
58,76,19M 30S
59,76,18M 47S
59,78,18M 29S
62,78,18M 14S
62,79,17M 59S
62,80,17M 59S
64,80,17M 44S
64,82,17M 19S
66,82,16M 57S
66,84,15M 32S
66,86,15M 5S
66,87,15M 5S
66,90,14M 52S
66,93,14M 19S
66,96,13M 33S
68,96,12M 57S
68,97,12M 53S
68,98,12M 53S
71,98,12M 44S
71,100,12M 32S
72,100,12M 28S
73,100,12M 28S
73,102,12M 10S
76,102,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
76,104,11M 47S
78,104,11M 39S
80,104,11M 14S
83,104,10M 34S
83,106,10M 17S
84,106,10M 6S
85,106,10M 6S
88,106,9M 48S
88,107,9M 29S
88,108,9M 29S
88,110,9M 2S
88,112,8M 0S
90,112,7M 2S
90,113,7M 2S
90,115,6M 50S
90,116,5M 47S
90,117,5M 47S
91,117,5M 41S
92,117,5M 41S
92,119,5M 23S
92,122,4M 32S
94,122,4M 13S
96,122,3M 56S
96,125,3M 37S
97,125,3M 16S
98,125,3M 16S
101,125,2M 37S
104,125,2M 6S
106,125,1M 53S
106,128,1M 12S
108,128,38S
111,128,14S
End of 4th quarter,NA,0S
