Minnesota,Oklahoma City,time_rem
6-16,9-12,48M 0S
0,2,47M 54S
0,4,47M 33S
0,6,47M 12S
0,8,46M 42S
2,8,46M 29S
3,8,45M 58S
4,8,45M 58S
6,8,45M 38S
8,8,44M 56S
8,10,44M 44S
10,10,44M 16S
13,10,43M 32S
13,12,43M 13S
13,14,42M 50S
15,14,41M 45S
15,17,41M 32S
Jump ball: K. Williams vs. A. Edwards (I. Roby gains possession),NA,41M 12S
18,17,40M 33S
20,17,39M 40S
20,20,39M 5S
20,22,38M 44S
20,23,38M 22S
22,23,37M 19S
23,23,37M 17S
25,23,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,23,35M 47S
27,24,35M 16S
27,25,34M 40S
27,26,34M 40S
27,28,33M 30S
29,28,33M 3S
31,28,32M 34S
34,28,32M 1S
35,28,31M 45S
36,28,31M 45S
36,30,30M 57S
36,32,30M 26S
38,32,30M 12S
40,32,29M 46S
40,33,29M 31S
40,36,28M 10S
40,37,27M 43S
40,38,27M 43S
43,38,27M 33S
43,41,27M 17S
45,41,26M 27S
45,44,25M 57S
45,46,25M 34S
47,46,25M 12S
48,46,25M 12S
48,48,25M 5S
48,49,25M 5S
48,51,24M 42S
51,51,24M 34S
51,53,24M 18S
51,55,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,55,23M 9S
56,55,22M 0S
58,55,21M 35S
58,58,21M 23S
58,59,20M 25S
61,59,19M 55S
61,61,19M 27S
63,61,19M 11S
63,62,18M 52S
63,63,18M 52S
66,63,18M 42S
66,65,18M 5S
68,65,17M 50S
68,67,17M 13S
68,69,16M 28S
69,69,16M 13S
70,69,16M 13S
70,72,15M 57S
73,72,15M 33S
76,72,14M 53S
76,74,14M 24S
79,74,14M 8S
82,74,13M 32S
82,76,12M 27S
85,76,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,78,11M 43S
85,81,11M 15S
87,81,10M 58S
90,81,10M 28S
90,84,9M 32S
90,87,8M 42S
90,89,7M 32S
92,89,7M 17S
92,92,6M 33S
95,92,6M 16S
95,93,4M 59S
97,93,4M 13S
99,93,3M 42S
99,96,3M 31S
99,98,3M 2S
101,98,2M 47S
101,100,2M 8S
103,100,1M 46S
103,103,26S
106,103,3S
End of 4th quarter,NA,0S
