Milwaukee,LA Clippers,time_rem
29-17,32-16,48M 0S
2,0,47M 44S
2,2,47M 26S
4,2,47M 13S
4,4,47M 0S
7,4,46M 52S
7,6,46M 35S
7,8,45M 42S
10,8,45M 26S
10,10,44M 57S
12,10,44M 17S
12,13,44M 0S
12,15,43M 46S
12,17,43M 15S
15,17,43M 4S
15,18,42M 48S
15,19,42M 48S
17,19,41M 42S
17,21,41M 22S
20,21,41M 5S
20,23,40M 42S
22,23,40M 33S
23,23,39M 58S
Jump ball: M. Diakite vs. T. Mann (B. Forbes gains possession),NA,39M 25S
25,23,39M 17S
25,26,39M 2S
27,26,38M 47S
30,26,38M 27S
32,26,38M 4S
35,26,37M 45S
38,26,36M 44S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
38,28,34M 41S
40,28,34M 31S
40,29,34M 11S
40,30,34M 11S
40,31,34M 11S
40,33,33M 21S
40,35,32M 30S
40,37,31M 57S
42,37,31M 48S
42,39,31M 3S
42,41,30M 1S
44,41,29M 17S
44,43,29M 9S
44,46,28M 1S
46,46,27M 24S
46,48,27M 2S
48,48,26M 47S
50,48,26M 8S
50,50,25M 52S
50,51,25M 36S
50,54,25M 20S
51,54,25M 6S
52,54,25M 6S
53,54,24M 32S
55,54,24M 24S
55,57,24M 8S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,57,23M 37S
57,57,23M 37S
57,60,23M 26S
59,60,23M 11S
59,62,22M 46S
59,64,21M 38S
59,66,21M 3S
59,68,20M 38S
61,68,20M 24S
64,68,19M 58S
64,70,19M 36S
66,70,19M 26S
66,72,19M 4S
68,72,18M 52S
68,74,18M 38S
70,74,18M 22S
70,76,18M 11S
73,76,17M 27S
73,79,17M 6S
73,82,16M 11S
76,82,15M 46S
76,85,15M 33S
77,85,15M 21S
78,85,15M 21S
78,88,15M 3S
79,88,14M 46S
79,90,14M 36S
79,91,14M 36S
81,91,13M 37S
81,93,13M 7S
82,93,12M 39S
83,93,12M 39S
86,93,12M 26S
86,96,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,99,11M 16S
87,99,11M 2S
88,99,11M 2S
90,99,10M 35S
90,101,9M 32S
92,101,9M 8S
93,101,8M 42S
94,101,8M 42S
94,103,8M 17S
96,103,8M 7S
96,105,7M 54S
98,105,7M 36S
98,108,7M 11S
100,108,6M 53S
100,111,6M 35S
100,114,6M 2S
100,117,5M 12S
100,119,4M 43S
101,119,4M 26S
102,119,4M 26S
102,122,4M 8S
103,122,3M 50S
103,123,3M 36S
103,126,2M 17S
105,126,1M 59S
105,129,27S
End of 4th quarter,NA,0S
