Milwaukee,New York,time_rem
1-2,1-2,48M 0S
2,0,47M 44S
2,2,47M 17S
2,4,46M 39S
4,4,46M 16S
4,5,45M 55S
4,6,45M 55S
4,8,45M 24S
4,9,45M 4S
4,10,45M 4S
7,10,44M 47S
7,12,44M 29S
7,13,44M 29S
9,13,44M 17S
12,13,43M 48S
12,16,43M 23S
14,16,42M 13S
14,18,41M 54S
16,18,40M 26S
17,18,39M 58S
18,18,39M 58S
19,18,39M 58S
19,21,39M 43S
21,21,39M 28S
21,23,38M 57S
23,23,38M 40S
23,25,38M 16S
23,28,37M 24S
25,28,36M 55S
25,30,36M 48S
27,30,36M 27S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,33,35M 30S
27,36,34M 30S
29,36,34M 12S
29,38,33M 49S
29,39,33M 15S
29,40,33M 15S
31,40,32M 40S
33,40,32M 8S
34,40,30M 41S
34,43,30M 25S
34,44,29M 20S
34,45,29M 20S
37,45,29M 4S
39,45,27M 50S
41,45,27M 26S
41,47,27M 7S
41,48,26M 45S
41,49,26M 24S
41,50,26M 8S
41,51,26M 8S
41,53,25M 44S
41,56,25M 2S
43,56,24M 48S
43,58,24M 37S
43,61,24M 4S
45,61,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,61,23M 40S
48,63,22M 24S
49,63,21M 59S
50,63,21M 59S
50,65,21M 47S
50,67,21M 10S
50,70,20M 34S
52,70,19M 59S
53,70,19M 59S
53,72,19M 43S
56,72,19M 28S
56,74,19M 11S
58,74,18M 59S
60,74,18M 40S
62,74,17M 51S
62,76,17M 33S
64,76,16M 46S
64,79,16M 27S
66,79,16M 15S
66,81,16M 5S
67,81,15M 59S
67,83,15M 45S
68,83,15M 37S
70,83,15M 29S
71,83,14M 53S
72,83,14M 53S
72,86,14M 32S
72,87,14M 7S
72,90,13M 41S
73,90,13M 18S
73,91,12M 48S
73,92,12M 48S
73,93,12M 48S
74,93,12M 21S
75,93,12M 21S
75,95,12M 5S
75,96,12M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,98,11M 34S
75,100,11M 11S
75,103,10M 7S
76,103,10M 0S
77,103,10M 0S
79,103,9M 36S
79,106,9M 18S
80,106,9M 4S
81,106,9M 4S
81,108,8M 43S
83,108,8M 32S
83,111,8M 23S
85,111,8M 9S
87,111,7M 53S
87,113,7M 29S
87,115,6M 57S
90,115,6M 42S
93,115,6M 0S
94,115,5M 42S
95,115,5M 42S
95,116,5M 14S
95,117,5M 14S
97,117,5M 3S
97,119,4M 42S
97,121,4M 2S
99,121,3M 37S
99,123,2M 45S
101,123,2M 32S
101,125,2M 16S
103,125,1M 39S
103,128,1M 20S
104,128,1M 16S
106,128,53S
108,128,37S
108,129,24S
108,130,24S
110,130,12S
End of 4th quarter,NA,0S
