Minnesota,Memphis,time_rem
12-37,23-23,48M 0S
0,0,47M 42S
0,2,47M 37S
2,2,47M 12S
4,2,46M 39S
4,5,46M 31S
6,5,46M 10S
6,6,45M 24S
6,7,45M 24S
8,7,45M 10S
8,10,44M 55S
8,12,44M 27S
8,15,44M 9S
10,15,43M 51S
10,17,43M 35S
12,17,43M 13S
12,18,42M 40S
12,19,42M 40S
15,19,42M 29S
17,19,42M 7S
20,19,41M 1S
20,21,40M 43S
21,21,40M 25S
22,21,40M 25S
22,22,39M 40S
22,25,38M 49S
24,25,38M 32S
24,27,38M 16S
26,27,37M 1S
26,30,36M 47S
28,30,36M 31S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,31,35M 31S
28,32,35M 31S
28,34,35M 4S
31,34,34M 51S
31,37,34M 4S
32,37,33M 49S
33,37,33M 49S
36,37,33M 22S
36,39,33M 11S
36,40,32M 46S
36,42,32M 38S
38,42,32M 18S
38,44,32M 5S
39,44,31M 43S
39,47,31M 30S
39,49,30M 37S
39,52,30M 4S
42,52,29M 49S
45,52,29M 21S
46,52,29M 21S
49,52,29M 4S
49,55,28M 46S
51,55,28M 30S
51,58,28M 18S
54,58,28M 5S
55,58,27M 0S
56,58,27M 0S
56,60,26M 40S
56,62,26M 19S
56,63,26M 19S
57,63,26M 9S
58,63,26M 9S
60,63,25M 45S
62,63,25M 25S
62,66,24M 59S
64,66,24M 35S
64,68,24M 30S
66,68,24M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,70,23M 35S
66,73,22M 51S
66,74,21M 0S
66,75,21M 0S
68,75,19M 17S
71,75,18M 51S
71,78,18M 33S
74,78,18M 8S
76,78,17M 21S
76,80,17M 0S
79,80,16M 49S
81,80,15M 17S
81,82,15M 0S
81,83,14M 24S
81,84,14M 24S
81,86,14M 1S
81,87,13M 40S
81,88,13M 40S
83,88,13M 24S
83,89,13M 5S
83,92,12M 56S
84,92,12M 44S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,95,11M 38S
84,97,10M 38S
86,97,10M 16S
86,99,9M 23S
86,101,8M 54S
88,101,8M 39S
88,102,8M 31S
88,105,8M 11S
90,105,7M 32S
90,108,7M 13S
90,110,6M 41S
90,113,6M 22S
90,115,5M 42S
92,115,4M 51S
93,115,4M 27S
94,115,4M 27S
95,115,4M 27S
95,118,4M 7S
98,118,3M 47S
100,118,3M 13S
101,118,2M 45S
102,118,2M 14S
103,118,2M 14S
103,120,1M 56S
105,120,1M 47S
106,120,1M 47S
107,120,1M 3S
108,120,1M 3S
End of 4th quarter,NA,0S
