Brooklyn,Philadelphia,time_rem
37-18,38-17,48M 0S
0,2,47M 47S
0,4,47M 2S
2,4,46M 38S
2,7,45M 52S
4,7,45M 38S
6,7,45M 16S
6,8,45M 11S
6,9,45M 11S
6,11,44M 48S
6,13,44M 11S
6,15,43M 33S
8,15,43M 19S
10,15,42M 55S
12,15,41M 35S
13,15,40M 42S
14,15,40M 42S
14,17,40M 22S
16,17,39M 57S
16,20,39M 48S
18,20,39M 39S
20,20,39M 12S
20,23,38M 55S
22,23,38M 37S
24,23,37M 59S
24,25,37M 51S
24,26,37M 23S
24,29,36M 58S
26,29,36M 34S
26,32,36M 27S
27,32,36M 7S
28,32,36M 7S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,32,35M 32S
30,34,35M 18S
31,34,35M 3S
32,34,35M 3S
32,36,33M 57S
34,36,33M 46S
34,39,33M 36S
34,41,32M 51S
34,43,31M 56S
36,43,31M 38S
36,45,31M 16S
36,48,30M 32S
39,48,30M 21S
39,50,30M 4S
40,50,29M 53S
41,50,29M 53S
41,52,29M 31S
43,52,29M 9S
43,54,28M 50S
46,54,28M 35S
46,56,28M 13S
48,56,28M 4S
50,56,26M 57S
50,58,26M 36S
52,58,26M 17S
52,59,25M 32S
52,60,25M 32S
52,62,25M 11S
52,63,24M 35S
52,64,24M 35S
54,64,24M 31S
54,65,24M 26S
55,65,24M 17S
56,65,24M 17S
57,65,24M 0S
58,65,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,67,23M 23S
61,67,23M 2S
61,69,22M 41S
61,72,22M 15S
63,72,21M 40S
63,75,21M 31S
63,77,19M 54S
65,77,19M 40S
67,77,19M 13S
67,79,18M 52S
69,79,18M 44S
69,81,17M 52S
69,83,17M 7S
69,85,16M 42S
71,85,16M 24S
73,85,16M 2S
75,85,15M 35S
76,85,15M 7S
77,85,15M 7S
77,87,14M 15S
79,87,13M 59S
79,89,13M 47S
79,90,13M 47S
79,92,12M 51S
80,92,12M 47S
81,92,12M 47S
81,94,12M 7S
83,94,12M 3S
84,94,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,96,11M 50S
84,98,11M 26S
86,98,11M 12S
86,101,10M 50S
88,101,10M 34S
88,104,10M 12S
88,107,9M 32S
88,109,9M 0S
89,109,8M 40S
90,109,8M 40S
90,112,8M 21S
93,112,8M 8S
94,112,7M 40S
95,112,7M 40S
97,112,7M 3S
98,112,5M 43S
100,112,5M 0S
100,113,4M 35S
100,114,4M 35S
102,114,4M 26S
104,114,3M 54S
106,114,3M 37S
107,114,2M 52S
108,114,2M 52S
109,114,2M 34S
111,114,2M 14S
111,115,2M 5S
111,116,2M 5S
113,116,1M 49S
113,117,1M 39S
113,118,1M 29S
114,118,1M 16S
115,118,1M 16S
115,119,1M 4S
115,120,1M 4S
115,121,43S
115,122,43S
117,122,36S
117,123,32S
End of 4th quarter,NA,0S
