Utah,Indiana,time_rem
19-5,12-12,48M 0S
0,0,47M 47S
0,3,47M 16S
3,3,46M 53S
3,6,45M 39S
5,6,45M 29S
6,6,45M 29S
6,9,45M 10S
6,12,44M 49S
9,12,43M 43S
9,14,43M 29S
11,14,42M 38S
14,14,42M 0S
17,14,41M 24S
17,17,41M 13S
20,17,40M 44S
20,18,40M 33S
20,19,40M 33S
22,19,40M 19S
25,19,38M 46S
25,20,38M 9S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,22,35M 23S
27,22,35M 2S
27,24,34M 45S
30,24,33M 49S
30,27,33M 7S
30,29,32M 17S
32,29,32M 5S
33,29,32M 5S
33,31,31M 18S
33,32,30M 43S
33,33,30M 43S
35,33,30M 26S
35,35,30M 14S
35,37,29M 50S
37,37,29M 39S
37,39,29M 18S
37,41,28M 48S
37,43,28M 21S
39,43,26M 47S
42,43,26M 20S
45,43,25M 49S
45,45,25M 30S
45,47,25M 8S
47,47,24M 48S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
47,49,23M 21S
49,49,23M 5S
50,49,23M 5S
50,51,22M 57S
52,51,22M 35S
52,53,21M 54S
54,53,21M 44S
56,53,21M 5S
58,53,20M 38S
58,56,20M 24S
58,58,18M 47S
61,58,18M 26S
61,60,18M 7S
62,60,17M 57S
63,60,17M 57S
66,60,17M 1S
66,62,16M 47S
68,62,16M 23S
68,64,16M 13S
68,66,15M 50S
70,66,14M 14S
72,66,13M 45S
73,66,13M 6S
73,68,12M 57S
75,68,12M 40S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,68,11M 27S
77,69,11M 10S
77,71,10M 34S
79,71,10M 15S
81,71,9M 43S
81,72,9M 35S
81,75,9M 5S
81,77,8M 19S
81,78,7M 20S
81,79,7M 20S
83,79,7M 5S
83,80,6M 38S
83,81,6M 38S
83,83,6M 14S
85,83,5M 36S
86,83,5M 36S
86,85,5M 26S
87,85,5M 17S
88,85,5M 17S
91,85,4M 12S
91,86,4M 9S
94,86,3M 51S
94,87,3M 2S
94,89,2M 40S
96,89,2M 26S
96,91,2M 13S
98,91,2M 1S
99,91,57S
100,91,57S
100,93,47S
101,93,25S
101,95,20S
102,95,17S
103,95,17S
End of 4th quarter,NA,0S
