Denver,Phoenix,time_rem
8-7,8-6,48M 0S
0,0,47M 48S
2,0,47M 32S
2,3,46M 58S
2,5,46M 21S
2,7,45M 53S
4,7,45M 35S
6,7,44M 57S
6,9,44M 38S
6,11,44M 18S
8,11,43M 28S
8,13,43M 7S
10,13,43M 0S
10,15,42M 38S
10,17,42M 16S
10,19,41M 52S
12,19,41M 38S
15,19,41M 5S
15,22,40M 48S
17,22,40M 36S
17,24,39M 52S
19,24,39M 2S
19,27,38M 27S
19,29,37M 57S
19,31,37M 24S
19,32,37M 24S
21,32,37M 1S
21,34,36M 48S
23,34,36M 41S
25,34,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,34,35M 32S
28,36,34M 33S
30,36,34M 6S
32,36,33M 34S
32,39,33M 23S
34,39,33M 8S
34,42,32M 42S
34,44,31M 50S
36,44,31M 34S
37,44,30M 17S
38,44,30M 17S
39,44,29M 59S
40,44,29M 59S
42,44,28M 51S
42,47,28M 38S
44,47,28M 24S
46,47,28M 0S
46,50,27M 46S
Jump ball: N. Jokić vs. D. Ayton (J. Murray gains possession),NA,27M 32S
46,53,27M 14S
48,53,26M 54S
48,56,26M 30S
50,56,26M 18S
50,58,26M 9S
50,61,25M 43S
50,63,25M 11S
52,63,24M 54S
52,66,24M 35S
54,66,24M 20S
54,68,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,68,23M 38S
57,71,23M 6S
58,71,22M 31S
59,71,22M 31S
61,71,21M 46S
63,71,21M 14S
65,71,20M 43S
66,71,20M 43S
66,74,20M 31S
68,74,20M 6S
70,74,19M 48S
71,74,19M 48S
71,75,19M 23S
71,76,19M 23S
73,76,19M 14S
73,78,18M 59S
75,78,18M 44S
75,81,18M 16S
77,81,17M 57S
77,82,17M 35S
77,83,17M 35S
77,86,17M 2S
78,86,16M 51S
79,86,16M 51S
79,88,16M 15S
82,88,16M 0S
82,89,15M 14S
82,90,15M 14S
84,90,14M 52S
84,92,14M 38S
84,93,14M 38S
86,93,13M 45S
89,93,12M 47S
89,95,12M 34S
91,95,12M 29S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,95,10M 16S
94,97,10M 0S
96,97,9M 18S
98,97,8M 33S
100,97,7M 58S
100,100,7M 41S
102,100,6M 42S
102,101,6M 24S
102,102,6M 24S
104,102,6M 5S
104,104,5M 35S
104,106,4M 19S
106,106,3M 50S
106,108,3M 34S
107,108,3M 22S
108,108,3M 22S
108,110,3M 1S
108,112,2M 39S
110,112,2M 24S
110,114,2M 1S
112,114,1M 46S
Jump ball: J. Murray vs. C. Johnson (G. Harris gains possession),NA,1M 23S
114,114,1M 7S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: N. Jokić vs. D. Ayton (M. Morris gains possession),NA,5M 0S
116,114,4M 37S
118,114,4M 0S
118,115,3M 45S
118,116,3M 45S
120,116,3M 22S
120,117,3M 14S
120,118,3M 14S
121,118,2M 49S
122,118,2M 49S
122,120,2M 27S
122,122,1M 54S
122,123,1M 54S
124,123,1M 37S
126,123,28S
127,123,10S
128,123,10S
128,126,7S
129,126,6S
130,126,6S
End of 1st overtime,NA,0S
