New York,Utah,time_rem
8-11,13-4,48M 0S
0,0,47M 44S
3,0,47M 39S
3,3,47M 16S
3,4,46M 47S
5,4,45M 3S
5,5,43M 47S
7,5,43M 36S
7,8,43M 21S
9,8,43M 4S
11,8,42M 11S
13,8,41M 42S
15,8,41M 10S
17,8,40M 9S
17,10,39M 24S
19,10,39M 12S
19,12,38M 27S
22,12,38M 12S
22,14,37M 56S
23,14,37M 37S
25,14,37M 23S
25,15,37M 9S
25,16,37M 9S
27,16,36M 38S
27,18,36M 15S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,20,35M 13S
29,20,34M 48S
29,22,34M 30S
29,25,34M 7S
31,25,33M 52S
31,28,33M 35S
34,28,33M 17S
34,30,32M 36S
36,30,32M 16S
36,32,31M 58S
37,32,31M 42S
40,32,31M 37S
42,32,31M 3S
45,32,30M 36S
45,34,30M 2S
48,34,29M 46S
48,37,29M 34S
50,37,29M 18S
50,38,28M 24S
53,38,26M 51S
53,39,26M 33S
53,40,26M 33S
53,42,26M 13S
55,42,25M 57S
55,44,25M 39S
56,44,25M 11S
57,44,25M 11S
59,44,24M 31S
59,45,24M 16S
59,46,24M 16S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,49,23M 45S
61,49,22M 24S
61,52,22M 7S
63,52,21M 47S
63,55,21M 21S
63,56,20M 58S
63,57,20M 58S
65,57,20M 37S
65,59,20M 26S
66,59,20M 8S
67,59,20M 8S
67,62,19M 57S
67,63,19M 21S
67,64,19M 21S
67,66,18M 32S
69,66,17M 46S
69,69,17M 21S
72,69,16M 36S
72,70,15M 12S
72,71,15M 12S
74,71,14M 50S
74,74,14M 35S
76,74,14M 17S
77,74,13M 42S
78,74,13M 42S
78,76,13M 30S
78,78,12M 46S
Jump ball: R. Barrett vs. M. Conley (O. Toppin gains possession),NA,12M 20S
81,78,12M 4S
81,79,12M 2S
81,80,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,82,11M 3S
81,83,11M 3S
81,86,10M 31S
81,88,10M 8S
81,91,9M 19S
84,91,8M 3S
84,94,7M 31S
84,96,6M 4S
84,98,5M 31S
84,100,5M 19S
85,100,4M 49S
86,100,4M 49S
86,102,4M 36S
88,102,4M 13S
89,102,4M 13S
91,102,3M 44S
91,104,3M 12S
91,105,3M 12S
91,108,2M 17S
92,108,1M 19S
94,108,43S
End of 4th quarter,NA,0S
