Chicago,Oklahoma City,time_rem
4-8,6-6,48M 0S
0,0,47M 34S
3,0,47M 13S
5,0,46M 21S
5,2,46M 8S
7,2,45M 47S
7,4,45M 27S
10,4,45M 15S
10,6,43M 57S
11,6,43M 43S
12,6,43M 43S
12,9,43M 35S
12,12,42M 57S
12,14,42M 35S
13,14,41M 51S
14,14,41M 51S
14,16,41M 30S
17,16,41M 16S
19,16,40M 47S
19,19,39M 29S
21,19,39M 12S
24,19,38M 41S
24,21,37M 28S
26,21,37M 14S
28,21,36M 42S
28,22,36M 31S
30,22,36M 21S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,24,35M 21S
33,24,35M 8S
36,24,34M 49S
36,26,34M 30S
38,26,33M 35S
38,28,33M 20S
39,28,32M 40S
40,28,32M 40S
42,28,32M 15S
43,28,32M 15S
43,30,32M 7S
45,30,31M 48S
45,33,31M 35S
48,33,31M 25S
48,34,31M 16S
50,34,31M 2S
50,37,30M 53S
50,39,30M 27S
52,39,30M 17S
53,39,30M 17S
55,39,29M 53S
55,40,28M 48S
55,41,28M 48S
57,41,28M 38S
60,41,28M 13S
60,42,27M 49S
60,45,27M 28S
60,47,26M 30S
60,48,26M 4S
60,50,25M 27S
63,50,25M 7S
66,50,24M 50S
68,50,24M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
70,50,23M 43S
70,52,22M 26S
73,52,22M 18S
73,54,22M 4S
76,54,21M 50S
76,56,21M 17S
78,56,21M 3S
78,57,20M 31S
78,60,19M 27S
78,62,18M 45S
78,64,18M 25S
78,67,17M 59S
78,68,17M 45S
78,69,17M 45S
81,69,17M 33S
81,71,17M 24S
81,74,16M 54S
82,74,16M 34S
83,74,16M 34S
83,76,16M 19S
83,77,16M 19S
83,79,15M 58S
83,81,15M 34S
84,81,15M 9S
85,81,15M 9S
87,81,14M 48S
87,84,14M 7S
88,84,13M 28S
89,84,13M 28S
92,84,12M 32S
92,87,12M 12S
95,87,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
95,90,10M 54S
98,90,10M 35S
101,90,9M 39S
101,92,9M 24S
101,93,9M 24S
103,93,9M 4S
103,95,8M 17S
103,97,7M 51S
106,97,7M 34S
108,97,7M 11S
109,97,6M 11S
110,97,6M 11S
112,97,5M 40S
112,99,5M 26S
115,99,4M 40S
115,101,4M 22S
115,103,4M 6S
115,106,3M 46S
116,106,2M 47S
116,108,2M 32S
118,108,2M 9S
118,109,1M 47S
118,110,1M 47S
118,111,1M 47S
118,113,1M 20S
118,115,49S
118,117,16S
118,118,16S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: W. Carter vs. M. Muscala (S. Gilgeous,Alexander gains possession),5M 0S
118,121,3M 56S
118,123,3M 4S
119,123,2M 55S
122,123,1M 48S
122,126,52S
125,126,6S
125,127,5S
End of 1st overtime,NA,0S
