Philadelphia,Boston,time_rem
35-16,25-26,48M 0S
0,0,47M 34S
2,0,47M 12S
3,0,46M 23S
4,0,46M 23S
7,0,45M 56S
7,3,45M 6S
7,5,44M 28S
7,6,44M 28S
9,6,44M 14S
9,9,43M 49S
11,9,43M 34S
11,11,43M 22S
13,11,42M 57S
13,14,42M 8S
15,14,41M 53S
15,16,40M 3S
16,16,39M 41S
17,16,39M 41S
17,19,39M 29S
18,19,39M 5S
19,19,39M 5S
19,22,38M 27S
21,22,38M 3S
22,22,36M 54S
23,22,36M 54S
23,23,36M 44S
23,24,36M 44S
25,24,36M 34S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,27,35M 41S
27,27,34M 59S
27,29,34M 44S
29,29,34M 34S
29,31,33M 54S
29,32,33M 54S
31,32,33M 45S
31,35,32M 59S
33,35,32M 36S
34,35,32M 0S
35,35,32M 0S
37,35,30M 51S
37,37,30M 16S
40,37,29M 50S
42,37,29M 15S
45,37,28M 42S
47,37,27M 54S
50,37,27M 28S
52,37,27M 17S
52,38,27M 13S
53,38,27M 1S
53,40,26M 2S
53,42,25M 32S
56,42,25M 18S
56,44,24M 26S
59,44,24M 6S
59,46,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,46,23M 0S
63,46,22M 29S
63,47,21M 36S
63,48,21M 36S
64,48,21M 21S
65,48,21M 21S
65,50,21M 11S
68,50,20M 52S
68,53,20M 37S
68,56,19M 42S
68,58,19M 5S
70,58,18M 52S
72,58,18M 22S
73,58,18M 22S
74,58,17M 52S
75,58,17M 52S
76,58,17M 19S
77,58,17M 19S
79,58,16M 56S
79,61,16M 33S
81,61,16M 10S
81,64,15M 44S
81,66,14M 44S
84,66,14M 25S
84,68,13M 42S
84,70,12M 51S
85,70,12M 39S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,70,10M 6S
87,70,10M 6S
87,71,9M 44S
87,72,9M 44S
88,72,9M 29S
89,72,8M 39S
90,72,8M 39S
90,74,7M 54S
90,76,7M 16S
91,76,6M 57S
92,76,6M 57S
94,76,6M 14S
96,76,5M 54S
96,77,5M 50S
96,80,4M 53S
98,80,4M 28S
98,83,4M 12S
100,83,3M 54S
100,85,3M 44S
100,86,2M 58S
100,87,2M 58S
101,87,2M 45S
101,90,2M 30S
104,90,2M 4S
105,90,1M 43S
105,92,1M 27S
106,92,1M 13S
106,93,1M 6S
106,94,1M 6S
106,95,50S
106,96,50S
End of 4th quarter,NA,0S
