Philadelphia,Chicago,time_rem
25-12,16-19,48M 0S
0,2,47M 37S
2,2,47M 1S
4,2,46M 45S
4,3,46M 29S
4,5,45M 43S
4,7,45M 13S
6,7,44M 54S
6,9,44M 37S
9,9,43M 55S
10,9,43M 29S
11,9,43M 29S
11,12,43M 12S
13,12,42M 55S
14,12,42M 30S
17,12,41M 58S
17,15,41M 44S
19,15,41M 25S
19,16,41M 15S
19,17,41M 15S
21,17,41M 0S
21,19,39M 30S
24,19,38M 19S
26,19,37M 42S
26,21,37M 29S
28,21,37M 19S
28,23,36M 55S
30,23,36M 43S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,23,35M 3S
33,23,35M 3S
33,25,34M 52S
35,25,34M 19S
37,25,33M 42S
37,28,33M 12S
37,30,32M 44S
39,30,32M 27S
39,33,32M 21S
39,35,31M 59S
41,35,31M 42S
41,38,31M 29S
43,38,30M 53S
43,41,30M 32S
44,41,30M 12S
46,41,29M 50S
46,44,29M 39S
47,44,29M 22S
48,44,29M 22S
48,47,29M 4S
50,47,28M 41S
50,50,28M 25S
52,50,27M 57S
52,52,27M 36S
54,52,26M 49S
57,52,26M 30S
57,54,26M 11S
60,54,25M 55S
60,57,25M 4S
61,57,24M 26S
62,57,24M 26S
64,57,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,59,23M 40S
67,59,22M 52S
69,59,22M 26S
69,61,22M 8S
72,61,21M 56S
72,64,21M 37S
74,64,21M 11S
76,64,20M 41S
76,66,20M 27S
76,69,19M 57S
78,69,18M 58S
80,69,18M 44S
81,69,17M 53S
84,69,17M 43S
84,71,17M 21S
86,71,16M 59S
86,73,16M 37S
86,74,16M 26S
86,75,16M 26S
89,75,16M 4S
89,77,15M 27S
89,78,14M 57S
89,79,14M 57S
91,79,14M 14S
91,81,14M 5S
93,81,13M 40S
93,83,13M 21S
95,83,12M 36S
95,84,12M 15S
95,85,12M 15S
97,85,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
99,85,11M 26S
101,85,10M 48S
103,85,10M 23S
105,85,10M 11S
106,85,10M 11S
108,85,9M 40S
108,88,9M 5S
110,88,8M 26S
112,88,7M 48S
114,88,7M 30S
114,90,7M 12S
114,92,6M 41S
116,92,6M 28S
116,95,6M 12S
119,95,5M 34S
119,96,4M 58S
119,97,4M 58S
121,97,4M 22S
121,99,4M 8S
121,101,3M 40S
123,101,2M 45S
123,103,2M 7S
125,103,1M 42S
127,103,44S
127,104,5S
127,105,5S
End of 4th quarter,NA,0S
