Indiana,Orlando,time_rem
29-31,18-42,48M 0S
0,0,47M 44S
2,0,47M 24S
2,2,46M 49S
2,3,46M 27S
2,4,46M 27S
2,6,45M 59S
4,6,45M 51S
6,6,45M 18S
6,7,44M 56S
6,8,44M 35S
8,8,44M 16S
8,10,43M 53S
10,10,43M 18S
10,11,42M 28S
13,11,42M 2S
13,13,41M 33S
16,13,41M 17S
18,13,40M 40S
18,15,40M 19S
19,15,40M 3S
20,15,40M 3S
23,15,39M 38S
23,17,39M 15S
24,17,39M 9S
25,17,39M 9S
27,17,38M 42S
27,19,37M 59S
29,19,37M 54S
29,21,37M 8S
32,21,37M 0S
34,21,36M 33S
35,21,36M 33S
35,23,36M 19S
36,23,36M 16S
36,24,36M 3S
36,25,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,27,35M 33S
39,27,35M 19S
39,28,35M 2S
39,29,35M 2S
39,32,34M 32S
39,33,34M 13S
39,34,34M 13S
39,35,33M 22S
41,35,33M 7S
43,35,32M 47S
46,35,31M 39S
48,35,31M 12S
50,35,30M 46S
50,37,29M 51S
50,38,29M 32S
50,40,29M 11S
50,42,28M 48S
50,45,28M 15S
50,47,27M 17S
52,47,26M 45S
52,50,26M 22S
54,50,26M 8S
54,53,26M 1S
56,53,25M 40S
57,53,25M 40S
57,55,25M 28S
57,56,24M 55S
57,57,24M 55S
59,57,24M 39S
62,57,24M 5S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,57,23M 46S
64,59,23M 22S
66,59,23M 4S
68,59,21M 7S
69,59,21M 7S
69,61,20M 51S
71,61,20M 28S
71,63,20M 9S
73,63,19M 30S
73,64,18M 39S
73,65,18M 39S
75,65,18M 30S
76,65,18M 30S
76,67,18M 17S
78,67,18M 2S
81,67,17M 40S
81,70,17M 21S
83,70,17M 9S
83,72,16M 52S
84,72,16M 39S
85,72,16M 39S
86,72,16M 11S
87,72,16M 11S
87,73,15M 48S
88,73,14M 59S
89,73,14M 59S
91,73,14M 28S
94,73,14M 1S
94,75,13M 42S
97,75,13M 23S
100,75,12M 58S
100,77,12M 17S
103,77,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
103,79,11M 37S
106,79,11M 14S
106,82,11M 1S
106,84,10M 33S
108,84,10M 4S
108,87,9M 33S
111,87,9M 21S
113,87,7M 59S
113,90,7M 19S
116,90,5M 57S
116,93,5M 34S
116,95,5M 18S
118,95,4M 53S
118,96,4M 51S
118,98,4M 41S
120,98,4M 26S
120,101,4M 14S
120,103,3M 48S
120,104,3M 48S
122,104,3M 21S
124,104,2M 49S
124,105,2M 23S
124,106,2M 23S
124,108,1M 50S
124,110,1M 32S
126,110,1M 2S
127,110,1M 2S
129,110,41S
129,112,30S
131,112,16S
End of 4th quarter,NA,0S
