New Orleans,Denver,time_rem
18-24,25-17,48M 0S
0,2,47M 40S
0,4,47M 23S
3,4,47M 13S
5,4,46M 25S
5,6,45M 51S
7,6,45M 27S
7,8,44M 25S
8,8,44M 19S
9,8,44M 19S
Jump ball: P. Millsap vs. B. Ingram (W. Barton gains possession),NA,43M 24S
9,11,43M 14S
9,13,42M 43S
9,16,42M 6S
11,16,41M 7S
13,16,40M 11S
13,19,39M 58S
13,21,39M 12S
14,21,39M 2S
14,22,38M 48S
14,23,38M 48S
16,23,38M 11S
18,23,37M 37S
18,24,37M 25S
18,25,37M 25S
19,25,37M 12S
19,26,36M 45S
19,27,36M 45S
21,27,36M 33S
22,27,36M 33S
22,30,36M 14S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,30,35M 47S
25,32,35M 32S
27,32,35M 23S
27,34,34M 36S
29,34,34M 23S
31,34,33M 44S
31,36,33M 4S
33,36,32M 19S
34,36,32M 19S
36,36,31M 30S
39,36,31M 10S
39,38,30M 55S
41,38,30M 41S
41,41,30M 1S
43,41,29M 23S
45,41,27M 35S
45,43,27M 25S
48,43,26M 58S
48,46,26M 45S
50,46,26M 29S
50,49,26M 18S
52,49,25M 58S
52,51,25M 17S
54,51,25M 1S
55,51,24M 43S
56,51,24M 43S
58,51,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,51,23M 8S
60,51,23M 8S
60,53,22M 54S
63,53,22M 27S
63,56,22M 12S
63,58,21M 30S
65,58,19M 58S
65,60,18M 58S
65,62,18M 35S
65,64,18M 17S
68,64,18M 1S
68,66,17M 47S
70,66,17M 23S
70,68,17M 7S
72,68,16M 55S
72,71,16M 41S
72,73,16M 10S
74,73,14M 56S
74,75,14M 34S
77,75,14M 16S
79,75,13M 54S
81,75,13M 16S
81,78,13M 3S
81,80,12M 38S
83,80,12M 30S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
83,82,11M 39S
85,82,10M 49S
85,84,10M 34S
87,84,9M 34S
87,86,8M 26S
90,86,7M 33S
91,86,7M 0S
92,86,7M 0S
92,88,6M 44S
92,90,6M 20S
92,92,5M 45S
92,95,5M 18S
93,95,5M 3S
95,95,4M 42S
95,96,4M 26S
95,98,4M 12S
97,98,3M 52S
98,98,3M 29S
99,98,3M 29S
99,100,3M 10S
101,100,2M 43S
101,102,1M 53S
103,102,1M 33S
104,102,1M 33S
104,104,1M 20S
106,104,57S
107,104,57S
107,105,47S
108,105,29S
109,105,29S
110,105,10S
111,105,10S
112,105,9S
113,105,9S
113,108,6S
End of 4th quarter,NA,0S
