Chicago,Cleveland,time_rem
24-34,21-37,48M 0S
0,0,47M 47S
0,2,47M 30S
2,2,47M 7S
2,5,46M 36S
4,5,46M 16S
4,7,46M 6S
6,7,45M 43S
6,9,45M 33S
8,9,44M 23S
8,12,44M 12S
8,14,43M 49S
10,14,42M 55S
10,17,42M 36S
10,18,41M 39S
10,20,40M 20S
10,23,39M 55S
10,25,39M 12S
10,26,38M 41S
10,27,38M 41S
10,29,38M 6S
10,30,38M 6S
12,30,37M 35S
12,31,37M 22S
12,32,37M 22S
12,34,36M 19S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
14,34,35M 45S
14,37,35M 29S
15,37,34M 48S
16,37,34M 48S
17,37,34M 24S
18,37,34M 24S
18,40,34M 13S
18,42,33M 41S
20,42,32M 45S
21,42,32M 22S
22,42,32M 22S
22,44,31M 45S
22,47,30M 47S
23,47,30M 19S
24,47,30M 19S
25,47,30M 19S
28,47,29M 50S
28,49,29M 9S
28,51,28M 16S
31,51,27M 51S
31,53,27M 35S
33,53,27M 13S
33,55,26M 57S
36,55,26M 38S
39,55,26M 10S
40,55,25M 17S
40,56,25M 7S
42,56,24M 56S
44,56,24M 42S
44,57,24M 28S
44,58,24M 15S
44,59,24M 15S
44,61,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
44,64,23M 20S
47,64,22M 50S
47,66,22M 37S
49,66,22M 30S
49,68,22M 17S
49,70,21M 20S
49,72,20M 58S
51,72,20M 23S
51,74,19M 42S
51,76,19M 21S
53,76,18M 52S
53,78,18M 37S
53,79,18M 37S
55,79,18M 27S
55,81,18M 0S
55,84,17M 14S
58,84,17M 0S
58,87,16M 44S
61,87,16M 20S
61,89,15M 29S
61,91,15M 5S
61,94,14M 2S
64,94,13M 49S
65,94,13M 5S
67,94,12M 58S
67,95,12M 48S
67,96,12M 48S
68,96,12M 42S
68,99,12M 29S
70,99,12M 25S
72,99,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,99,11M 38S
75,102,11M 18S
78,102,11M 0S
80,102,10M 34S
80,105,10M 21S
83,105,9M 58S
83,108,9M 40S
85,108,8M 21S
85,110,8M 0S
88,110,7M 43S
90,110,7M 31S
90,112,7M 3S
93,112,6M 57S
95,112,5M 50S
97,112,5M 33S
97,114,4M 29S
97,117,3M 56S
99,117,3M 33S
101,117,2M 29S
101,119,2M 3S
103,119,37S
104,119,31S
105,119,31S
105,120,14S
105,121,14S
End of 4th quarter,NA,0S
