Phoenix,New Orleans,time_rem
18-10,12-17,48M 0S
0,0,47M 45S
0,2,47M 32S
2,2,47M 13S
2,4,46M 22S
4,4,46M 15S
6,4,45M 51S
6,7,45M 20S
8,7,45M 8S
8,9,44M 46S
11,9,44M 33S
14,9,43M 43S
14,12,43M 27S
14,13,42M 43S
14,15,42M 12S
17,15,42M 0S
17,17,41M 48S
17,18,41M 48S
17,20,41M 33S
18,20,41M 14S
19,20,41M 14S
19,22,41M 0S
21,22,40M 39S
21,24,40M 19S
24,24,40M 5S
24,27,39M 56S
Jump ball: J. Hayes vs. D. Šarić (L. Ball gains possession),NA,39M 17S
24,29,38M 21S
26,29,38M 10S
27,29,38M 10S
27,32,37M 59S
27,33,37M 34S
27,34,37M 34S
30,34,37M 11S
33,34,36M 32S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,34,35M 44S
37,34,35M 28S
37,36,35M 13S
40,36,34M 35S
42,36,34M 11S
42,38,33M 52S
44,38,33M 32S
44,39,33M 19S
44,40,33M 19S
47,40,33M 9S
47,42,32M 53S
47,44,32M 1S
47,47,31M 31S
47,49,31M 7S
47,51,30M 27S
47,52,30M 27S
47,54,30M 0S
49,54,29M 41S
52,54,29M 9S
54,54,28M 41S
54,57,27M 19S
56,57,27M 1S
56,59,26M 14S
56,61,25M 42S
56,63,25M 17S
59,63,24M 29S
59,66,24M 7S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,66,23M 36S
61,68,23M 24S
64,68,22M 57S
64,70,22M 39S
64,72,22M 12S
66,72,21M 29S
66,74,21M 18S
68,74,21M 3S
68,75,20M 51S
71,75,20M 39S
73,75,20M 14S
73,77,19M 32S
73,78,19M 12S
75,78,18M 48S
75,80,18M 34S
75,81,18M 0S
75,82,18M 0S
78,82,17M 50S
78,85,17M 34S
80,85,17M 21S
80,86,16M 58S
80,87,16M 58S
81,87,16M 42S
81,89,16M 28S
84,89,16M 15S
86,89,15M 20S
86,90,15M 19S
86,93,15M 5S
87,93,14M 44S
88,93,14M 44S
88,94,14M 30S
88,95,14M 30S
88,97,14M 13S
88,99,13M 48S
91,99,13M 36S
91,102,13M 18S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,102,10M 46S
96,102,10M 8S
96,104,9M 52S
98,104,9M 43S
100,104,8M 54S
101,104,8M 35S
102,104,8M 35S
105,104,8M 7S
108,104,7M 33S
108,107,6M 40S
110,107,6M 25S
112,107,5M 53S
115,107,5M 26S
118,107,4M 41S
120,107,4M 10S
120,108,3M 54S
120,109,3M 54S
123,109,3M 42S
126,109,3M 4S
128,109,2M 17S
130,109,1M 4S
130,111,45S
130,113,30S
130,114,30S
132,114,17S
End of 4th quarter,NA,0S
