New York,Denver,time_rem
37-29,44-22,48M 0S
0,0,47M 45S
0,1,47M 32S
0,3,46M 46S
2,3,45M 58S
2,5,45M 44S
2,7,45M 24S
2,9,44M 52S
3,9,44M 36S
3,11,44M 16S
3,13,43M 36S
3,15,43M 2S
6,15,42M 49S
6,16,42M 24S
6,17,42M 24S
6,18,41M 56S
6,19,41M 56S
6,21,41M 29S
6,23,40M 53S
6,24,40M 12S
6,26,39M 32S
7,26,39M 20S
7,27,38M 37S
7,28,38M 37S
9,28,37M 23S
9,30,37M 3S
12,30,36M 49S
12,32,36M 30S
12,33,36M 1S
12,34,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
13,34,35M 48S
14,34,35M 48S
14,36,35M 37S
14,37,35M 37S
14,40,35M 2S
16,40,34M 44S
18,40,34M 16S
18,43,34M 1S
20,43,33M 16S
20,44,32M 59S
20,45,32M 59S
22,45,32M 35S
22,47,32M 13S
22,50,31M 48S
24,50,31M 34S
26,50,30M 57S
26,52,30M 38S
28,52,30M 10S
28,54,29M 30S
28,56,29M 12S
31,56,28M 58S
33,56,27M 58S
35,56,27M 4S
36,56,26M 37S
37,56,26M 37S
37,59,26M 13S
40,59,25M 51S
40,61,24M 48S
40,64,24M 30S
43,64,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
45,64,22M 23S
45,67,22M 10S
47,67,21M 51S
47,69,21M 40S
47,71,20M 47S
47,73,20M 27S
49,73,20M 4S
49,74,19M 36S
49,75,19M 36S
51,75,18M 24S
53,75,18M 7S
56,75,17M 32S
59,75,17M 1S
59,78,16M 16S
62,78,15M 49S
62,81,15M 30S
62,82,15M 16S
64,82,14M 55S
64,85,14M 38S
66,85,14M 9S
67,85,14M 9S
67,86,13M 20S
68,86,13M 20S
69,86,13M 20S
69,88,12M 25S
69,89,12M 25S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
69,90,12M 0S
71,90,11M 33S
71,91,10M 58S
71,92,10M 58S
72,92,10M 44S
73,92,10M 44S
73,95,10M 27S
73,96,9M 48S
73,97,9M 48S
76,97,9M 22S
76,99,8M 34S
76,100,8M 2S
77,100,7M 9S
77,103,6M 44S
77,104,6M 15S
77,105,6M 15S
77,108,5M 48S
80,108,5M 34S
80,110,5M 18S
83,110,5M 4S
84,110,4M 30S
85,110,4M 30S
86,110,4M 2S
89,110,3M 40S
90,110,2M 25S
91,110,2M 25S
91,111,2M 23S
91,113,1M 7S
92,113,1M 4S
95,113,37S
97,113,7S
End of 4th quarter,NA,0S
