Oklahoma City,Cleveland,time_rem
12-18,10-21,48M 0S
0,0,47M 32S
0,3,46M 46S
0,5,46M 22S
2,5,46M 5S
3,5,46M 5S
3,7,45M 50S
6,7,45M 37S
6,10,44M 53S
6,12,44M 8S
8,12,43M 45S
8,14,43M 19S
8,16,42M 42S
8,17,42M 42S
10,17,41M 49S
10,20,41M 26S
13,20,41M 12S
15,20,40M 37S
15,22,40M 13S
17,22,38M 54S
17,24,38M 36S
20,24,38M 26S
22,24,38M 12S
23,24,37M 39S
24,24,37M 39S
26,24,37M 16S
28,24,36M 46S
28,26,36M 39S
30,26,36M 31S
31,26,36M 31S
31,28,36M 11S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,29,34M 22S
31,30,34M 22S
31,31,33M 50S
31,32,33M 50S
33,32,33M 31S
35,32,33M 4S
37,32,32M 38S
37,33,32M 27S
37,34,32M 27S
40,34,32M 15S
42,34,31M 45S
42,36,31M 25S
43,36,31M 11S
44,36,31M 11S
44,37,30M 46S
44,38,30M 46S
44,40,30M 24S
45,40,29M 58S
45,42,29M 47S
47,42,29M 11S
49,42,28M 46S
50,42,27M 49S
51,42,27M 49S
53,42,27M 29S
54,42,27M 29S
54,43,27M 17S
54,44,27M 17S
54,47,26M 51S
57,47,26M 41S
57,49,25M 50S
57,51,25M 14S
59,51,24M 56S
60,51,24M 0S
61,51,24M 0S
62,51,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,53,23M 45S
64,53,23M 19S
64,55,23M 4S
66,55,22M 43S
68,55,22M 13S
68,57,21M 15S
68,59,20M 46S
68,62,20M 7S
70,62,19M 20S
70,64,19M 5S
72,64,17M 52S
74,64,17M 27S
Jump ball: C. Sexton vs. L. Dort (J. Allen gains possession),NA,16M 0S
76,64,15M 35S
76,67,15M 21S
79,67,14M 59S
79,69,14M 35S
81,69,14M 22S
82,69,14M 22S
82,71,14M 5S
82,73,13M 7S
85,73,12M 54S
86,73,12M 23S
86,75,12M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,75,11M 9S
89,77,10M 45S
91,77,10M 24S
91,79,10M 13S
94,79,9M 0S
96,79,8M 28S
96,80,8M 10S
99,80,7M 50S
99,82,7M 35S
99,84,7M 6S
101,84,6M 46S
104,84,6M 10S
104,86,5M 23S
104,88,4M 48S
104,91,3M 54S
106,91,2M 57S
106,94,2M 43S
108,94,2M 18S
108,96,2M 3S
111,96,1M 43S
111,97,1M 33S
114,97,1M 11S
114,98,1M 1S
114,99,1M 1S
115,99,39S
116,99,39S
117,99,39S
117,101,24S
End of 4th quarter,NA,0S
